schema_id,test_id,expected_validity,actual_result,accepted,result_available,constraint_case,compile_grammar_s,validation_loop_s,compute_mask_s,commit_token_s,num_tokens,tokens_checked
Github_ultra---o12343.json,Github_ultra---o12343.json::test_00000,valid,passed,True,True,correct_accept,71.9627,4.2779,1.9482,2.32516,1424,1424
Github_ultra---o12343.json,Github_ultra---o12343.json::test_00001,valid,passed,True,True,correct_accept,71.9627,2.30145,1.0648,1.23392,925,925
Github_ultra---o12343.json,Github_ultra---o12343.json::test_00002,invalid,passed,False,True,correct_reject,71.9627,0.527957,0.246154,0.281193,825,216
Github_ultra---o12343.json,Github_ultra---o12343.json::test_00003,invalid,passed,False,True,correct_reject,71.9627,0.109239,0.049874,0.059232,891,37
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00000,valid,compile_error,,True,over_constraint,381.639,,,,,
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00001,valid,compile_error,,True,over_constraint,381.639,,,,,
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00002,invalid,compile_error,,True,correct_reject,381.639,,,,,
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00003,invalid,compile_error,,True,correct_reject,381.639,,,,,
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00004,invalid,compile_error,,True,correct_reject,381.639,,,,,
Github_ultra---o12344.json,Github_ultra---o12344.json::test_00005,invalid,compile_error,,True,correct_reject,381.639,,,,,
Github_ultra---o12652.json,Github_ultra---o12652.json::test_00000,valid,compile_error,,True,over_constraint,467.264,,,,,
Github_ultra---o12652.json,Github_ultra---o12652.json::test_00001,invalid,compile_error,,True,correct_reject,467.264,,,,,
Github_ultra---o12652.json,Github_ultra---o12652.json::test_00002,invalid,compile_error,,True,correct_reject,467.264,,,,,
Github_ultra---o13020.json,Github_ultra---o13020.json::test_00000,valid,compile_error,,True,over_constraint,0.038776,,,,,
Github_ultra---o13020.json,Github_ultra---o13020.json::test_00001,invalid,compile_error,,True,correct_reject,0.038776,,,,,
Github_ultra---o13020.json,Github_ultra---o13020.json::test_00002,invalid,compile_error,,True,correct_reject,0.038776,,,,,
Github_ultra---o13020.json,Github_ultra---o13020.json::test_00003,invalid,compile_error,,True,correct_reject,0.038776,,,,,
Github_ultra---o13020.json,Github_ultra---o13020.json::test_00004,invalid,compile_error,,True,correct_reject,0.038776,,,,,
Github_ultra---o13020.json,Github_ultra---o13020.json::test_00005,invalid,compile_error,,True,correct_reject,0.038776,,,,,
Github_ultra---o13020.json,Github_ultra---o13020.json::test_00006,invalid,compile_error,,True,correct_reject,0.038776,,,,,
Github_ultra---o15627.json,Github_ultra---o15627.json::test_00000,valid,failed,False,True,over_constraint,51.3702,1.8201,0.821573,0.996207,2989,819
Github_ultra---o15627.json,Github_ultra---o15627.json::test_00001,valid,failed,False,True,over_constraint,51.3702,1.54976,0.708089,0.839651,2890,766
Github_ultra---o15627.json,Github_ultra---o15627.json::test_00002,invalid,passed,False,True,correct_reject,51.3702,0.801836,0.353535,0.447521,2882,240
Github_ultra---o16062.json,Github_ultra---o16062.json::test_00000,valid,passed,True,True,correct_accept,50.0265,3.45626,1.59623,1.85443,2345,2345
