feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,58,37,0.610526,82,38,98,58,0.836735,0.655172,1.27712,0.181562,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,58,37,0.610526,82,38,98,58,0.836735,0.655172,1.27712,0.181562,true
has_oneOf__AND__has_required,has_oneOf,has_required,24,71,0.252632,34,86,37,119,0.918919,0.722689,1.27153,0.19623,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,23,72,0.242105,34,86,37,119,0.918919,0.722689,1.27153,0.19623,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,23,72,0.242105,34,86,37,119,0.918919,0.722689,1.27153,0.19623,true
has_defs__AND__has_pattern,has_defs,has_pattern,24,71,0.252632,33,87,36,120,0.916667,0.725,1.26437,0.191667,true
has_pattern__AND__has_ref,has_pattern,has_ref,24,71,0.252632,33,87,36,120,0.916667,0.725,1.26437,0.191667,true
has_defs__AND__has_minimum,has_defs,has_minimum,23,72,0.242105,31,89,34,122,0.911765,0.729508,1.24983,0.182257,true
has_minimum__AND__has_ref,has_minimum,has_ref,23,72,0.242105,31,89,34,122,0.911765,0.729508,1.24983,0.182257,true
has_items__AND__has_minimum,has_items,has_minimum,32,63,0.336842,42,78,47,109,0.893617,0.715596,1.24877,0.178021,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,74,0.221053,30,90,33,123,0.909091,0.731707,1.24242,0.177384,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,29,66,0.305263,44,76,50,106,0.88,0.716981,1.22737,0.163019,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,20,75,0.210526,28,92,31,125,0.903226,0.736,1.22721,0.167226,true
has_minimum__AND__has_pattern,has_minimum,has_pattern,19,76,0.2,25,95,28,128,0.892857,0.742188,1.20301,0.15067,true
has_items__AND__has_oneOf,has_items,has_oneOf,26,69,0.273684,36,84,41,115,0.878049,0.730435,1.20209,0.147614,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,26,69,0.273684,36,84,41,115,0.878049,0.730435,1.20209,0.147614,true
has_oneOf__AND__has_type,has_oneOf,has_type,26,69,0.273684,36,84,41,115,0.878049,0.730435,1.20209,0.147614,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,26,69,0.273684,39,81,45,111,0.866667,0.72973,1.18765,0.136937,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,25,70,0.263158,34,86,39,117,0.871795,0.735043,1.18605,0.136752,true
has_minimum__AND__has_properties,has_minimum,has_properties,33,62,0.347368,42,78,49,107,0.857143,0.728972,1.17582,0.128171,true
