dataset_id,schema_id,framework_id,framework,schema_path,outlines_core_version,schema_file_bytes,schema_json_chars,schema_load_s,schema_serialize_s,regex_build_s,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_s,index_built,guide_init_s,guide_built,total_compile_s,final_status,last_stage,exception_type,exception_message,timeout_seconds
Github_easy,Github_easy---o83698.json,outlines,Outlines,maskbench/data/Github_easy---o83698.json,0.2.14,5524,602,0.000598,2e-05,5.1e-05,True,1094,1094,f397962d88cd99cd9e4bb9cf5f522ee7b8f5abfa76dbb5da149dc296a241667e,1.817275748,14,27,88,6,2.261473,True,5e-06,True,2.613522,completed,completed,,,
Github_easy,Github_easy---o83707.json,outlines,Outlines,maskbench/data/Github_easy---o83707.json,0.2.14,2221,332,0.000607,1.6e-05,2.8e-05,True,361,361,735c2621e2593a97f1902de49600c26e284b891c8da612cd58b1a20eba0a8e03,1.087349398,8,12,34,3,0.34401,True,4e-06,True,0.686945,completed,completed,,,
Github_easy,Github_easy---o83709.json,outlines,Outlines,maskbench/data/Github_easy---o83709.json,0.2.14,3256,350,0.000585,4.4e-05,3.9e-05,True,183,183,e03c8859270a73b112ea9f6c6407f645f73b3a9c262f2f1a6ccb7db6d3ddb3a5,0.522857143,3,4,16,1,0.360251,True,4e-06,True,0.692986,completed,completed,,,
Github_easy,Github_easy---o83711.json,outlines,Outlines,maskbench/data/Github_easy---o83711.json,0.2.14,4449,524,0.001141,1.9e-05,4.3e-05,True,616,616,f398e9aff67b4fb6d18435933572d75f32fa7a55afe759f25f5309a3feb9f527,1.175572519,9,16,60,5,0.959123,True,4e-06,True,1.298908,completed,completed,,,
Github_easy,Github_easy---o83712.json,outlines,Outlines,maskbench/data/Github_easy---o83712.json,0.2.14,3446,326,0.000772,1.7e-05,3.4e-05,True,148,148,e42c905eb0b71aa7a501ea00ce25a5d1d25353af298f80b06b90c01e4ce5403f,0.45398773,2,4,16,2,0.301391,True,9e-06,True,0.635887,completed,completed,,,
Github_easy,Github_easy---o83719.json,outlines,Outlines,maskbench/data/Github_easy---o83719.json,0.2.14,3903,539,0.000784,2.4e-05,4.4e-05,True,231,231,659f811c6eb5de3f857f12ae4d5f0c00526e5e341032a9f3e684aa87def62d1d,0.428571429,1,7,28,2,0.496609,True,4e-06,True,0.844616,completed,completed,,,
Github_easy,Github_easy---o83720.json,outlines,Outlines,maskbench/data/Github_easy---o83720.json,0.2.14,6852,433,0.000733,2.4e-05,3.7e-05,True,503,503,ce3cac57efef4fcc7647573c4e32e1feb8acd80dd0a68f8d298b8a9efb05fc57,1.161662818,8,15,50,5,1.021237,True,8e-06,True,1.365914,completed,completed,,,
Github_easy,Github_easy---o83721.json,outlines,Outlines,maskbench/data/Github_easy---o83721.json,0.2.14,5865,405,0.000638,1.7e-05,6.3e-05,True,427,427,2b244107e05b43c2cc08ef9155ff6b7ae9defbe84a1cfc2a6a78a985c9c4781c,1.054320988,6,13,42,5,0.821782,True,3e-06,True,1.158128,completed,completed,,,
Github_easy,Github_easy---o83725.json,outlines,Outlines,maskbench/data/Github_easy---o83725.json,0.2.14,1417,265,0.000583,1.3e-05,2.6e-05,True,48,48,d5a665412381d3fa0c06c6c7b79192f8e6a9883c14a0ffac57d7128c98b15cce,0.181132075,1,2,6,1,0.091712,True,4e-06,True,0.437714,completed,completed,,,
Github_easy,Github_easy---o83726.json,outlines,Outlines,maskbench/data/Github_easy---o83726.json,0.2.14,2048,303,0.001046,5.5e-05,3.8e-05,True,254,254,4f41cc6c677d999331343d612f297db513d49eb7754ef22996fe5819f7bc23ea,0.838283828,4,10,27,4,0.445604,True,4e-06,True,0.81722,completed,completed,,,
