feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,38,1751,0.0212409,2,22,38,1751,0.0526316,0.0125642,4.189,0.0400673,true
has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,40,1749,0.0223589,2,22,40,1749,0.05,0.0125786,3.975,0.0374214,true
has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,41,1748,0.0229178,2,22,41,1748,0.0487805,0.0125858,3.87583,0.0361947,true
has_boolean_schema__AND__has_maxItems,has_boolean_schema,has_maxItems,20,1769,0.0111794,1,23,20,1769,0.05,0.0130017,3.84565,0.0369983,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,44,1745,0.0245947,2,22,44,1745,0.0454545,0.0126074,3.60537,0.0328471,true
has_additionalProperties__AND__has_maxItems,has_additionalProperties,has_maxItems,22,1767,0.0122974,1,23,22,1767,0.0454545,0.0130164,3.49209,0.0324381,true
has_enum__AND__has_type,has_enum,has_type,417,1372,0.233091,12,12,417,1372,0.028777,0.00874636,3.29017,0.0200306,true
has_enum__AND__has_properties,has_enum,has_properties,419,1370,0.234209,12,12,419,1370,0.0286396,0.00875912,3.26969,0.0198805,true
has_enum__AND__has_items,has_enum,has_items,109,1680,0.0609279,4,20,109,1680,0.0366972,0.0119048,3.08257,0.0247925,true
has_maxItems__AND__has_required,has_maxItems,has_required,27,1762,0.0150922,1,23,27,1762,0.037037,0.0130533,2.83736,0.0239837,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,89,1700,0.0497485,3,21,89,1700,0.0337079,0.0123529,2.72873,0.0213549,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,90,1699,0.0503074,3,21,90,1699,0.0333333,0.0123602,2.69683,0.0209731,true
has_items__AND__has_maxItems,has_items,has_maxItems,34,1755,0.019005,1,23,34,1755,0.0294118,0.0131054,2.24425,0.0163064,true
has_maxItems__AND__has_properties,has_maxItems,has_properties,34,1755,0.019005,1,23,34,1755,0.0294118,0.0131054,2.24425,0.0163064,true
has_maxItems__AND__has_type,has_maxItems,has_type,34,1755,0.019005,1,23,34,1755,0.0294118,0.0131054,2.24425,0.0163064,true
has_maximum__AND__has_minimum,has_maximum,has_minimum,76,1713,0.0424818,2,22,76,1713,0.0263158,0.012843,2.04904,0.0134728,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,118,1671,0.0659586,3,21,118,1671,0.0254237,0.0125673,2.023,0.0128564,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,119,1670,0.0665176,3,21,119,1670,0.0252101,0.0125749,2.0048,0.0126352,true
has_maximum__AND__has_properties,has_maximum,has_properties,78,1711,0.0435998,2,22,78,1711,0.025641,0.012858,1.99417,0.012783,true
has_maximum__AND__has_type,has_maximum,has_type,79,1710,0.0441587,2,22,79,1710,0.0253165,0.0128655,1.96778,0.012451,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,606,1183,0.338737,11,13,606,1183,0.0181518,0.010989,1.65182,0.0071628,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,620,1169,0.346562,11,13,620,1169,0.0177419,0.0111206,1.59541,0.00662132,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,266,1523,0.148686,5,19,266,1523,0.018797,0.0124754,1.50673,0.00632161,true
has_pattern__AND__has_type,has_pattern,has_type,212,1577,0.118502,4,20,212,1577,0.0188679,0.0126823,1.48774,0.00618562,true
has_pattern__AND__has_properties,has_pattern,has_properties,213,1576,0.119061,4,20,213,1576,0.0187793,0.0126904,1.47981,0.00608899,true
