feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_properties__AND__has_type,has_properties,has_type,4834,126,0.974597,0,0,4834,126,0,0,0,0,true
has_properties__AND__has_required,has_properties,has_required,3620,1340,0.729839,0,0,3620,1340,0,0,0,0,true
has_required__AND__has_type,has_required,has_type,3619,1341,0.729637,0,0,3619,1341,0,0,0,0,true
has_items__AND__has_type,has_items,has_type,2399,2561,0.483669,0,0,2399,2561,0,0,0,0,true
has_items__AND__has_properties,has_items,has_properties,2371,2589,0.478024,0,0,2371,2589,0,0,0,0,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,2363,2597,0.476411,0,0,2363,2597,0,0,0,0,true
has_additionalProperties__AND__has_properties,has_additionalProperties,has_properties,2338,2622,0.471371,0,0,2338,2622,0,0,0,0,true
has_boolean_schema__AND__has_type,has_boolean_schema,has_type,2284,2676,0.460484,0,0,2284,2676,0,0,0,0,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,2270,2690,0.457661,0,0,2270,2690,0,0,0,0,true
has_boolean_schema__AND__has_properties,has_boolean_schema,has_properties,2266,2694,0.456855,0,0,2266,2694,0,0,0,0,true
has_enum__AND__has_type,has_enum,has_type,1955,3005,0.394153,0,0,1955,3005,0,0,0,0,true
has_enum__AND__has_properties,has_enum,has_properties,1942,3018,0.391532,0,0,1942,3018,0,0,0,0,true
has_items__AND__has_required,has_items,has_required,1924,3036,0.387903,0,0,1924,3036,0,0,0,0,true
has_additionalProperties__AND__has_required,has_additionalProperties,has_required,1908,3052,0.384677,0,0,1908,3052,0,0,0,0,true
has_boolean_schema__AND__has_required,has_boolean_schema,has_required,1856,3104,0.374194,0,0,1856,3104,0,0,0,0,true
has_enum__AND__has_required,has_enum,has_required,1516,3444,0.305645,0,0,1516,3444,0,0,0,0,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,1380,3580,0.278226,0,0,1380,3580,0,0,0,0,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,1330,3630,0.268145,0,0,1330,3630,0,0,0,0,true
has_defs__AND__has_type,has_defs,has_type,1141,3819,0.23004,0,0,1141,3819,0,0,0,0,true
has_defs__AND__has_properties,has_defs,has_properties,1135,3825,0.228831,0,0,1135,3825,0,0,0,0,true
has_pattern__AND__has_type,has_pattern,has_type,1133,3827,0.228427,0,0,1133,3827,0,0,0,0,true
has_pattern__AND__has_properties,has_pattern,has_properties,1122,3838,0.22621,0,0,1122,3838,0,0,0,0,true
has_default__AND__has_type,has_default,has_type,1115,3845,0.224798,0,0,1115,3845,0,0,0,0,true
has_default__AND__has_properties,has_default,has_properties,1103,3857,0.222379,0,0,1103,3857,0,0,0,0,true
has_enum__AND__has_items,has_enum,has_items,1070,3890,0.215726,0,0,1070,3890,0,0,0,0,true
has_ref__AND__has_type,has_ref,has_type,1050,3910,0.211694,0,0,1050,3910,0,0,0,0,true
has_properties__AND__has_ref,has_properties,has_ref,1046,3914,0.210887,0,0,1046,3914,0,0,0,0,true
has_additionalProperties__AND__has_enum,has_additionalProperties,has_enum,1044,3916,0.210484,0,0,1044,3916,0,0,0,0,true
has_defs__AND__has_ref,has_defs,has_ref,1033,3927,0.208266,0,0,1033,3927,0,0,0,0,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,1015,3945,0.204637,0,0,1015,3945,0,0,0,0,true
has_pattern__AND__has_required,has_pattern,has_required,924,4036,0.18629,0,0,924,4036,0,0,0,0,true
has_defs__AND__has_required,has_defs,has_required,912,4048,0.183871,0,0,912,4048,0,0,0,0,true
has_default__AND__has_required,has_default,has_required,890,4070,0.179435,0,0,890,4070,0,0,0,0,true
has_ref__AND__has_required,has_ref,has_required,866,4094,0.174597,0,0,866,4094,0,0,0,0,true
has_defs__AND__has_items,has_defs,has_items,842,4118,0.169758,0,0,842,4118,0,0,0,0,true
has_items__AND__has_ref,has_items,has_ref,792,4168,0.159677,0,0,792,4168,0,0,0,0,true
has_minimum__AND__has_type,has_minimum,has_type,769,4191,0.15504,0,0,769,4191,0,0,0,0,true
has_minimum__AND__has_properties,has_minimum,has_properties,759,4201,0.153024,0,0,759,4201,0,0,0,0,true
has_additionalProperties__AND__has_pattern,has_additionalProperties,has_pattern,755,4205,0.152218,0,0,755,4205,0,0,0,0,true
has_boolean_schema__AND__has_pattern,has_boolean_schema,has_pattern,741,4219,0.149395,0,0,741,4219,0,0,0,0,true
has_items__AND__has_pattern,has_items,has_pattern,740,4220,0.149194,0,0,740,4220,0,0,0,0,true
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,736,4224,0.148387,0,0,736,4224,0,0,0,0,true
has_minLength__AND__has_type,has_minLength,has_type,701,4259,0.141331,0,0,701,4259,0,0,0,0,true
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,697,4263,0.140524,0,0,697,4263,0,0,0,0,true
has_minLength__AND__has_properties,has_minLength,has_properties,696,4264,0.140323,0,0,696,4264,0,0,0,0,true
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,695,4265,0.140121,0,0,695,4265,0,0,0,0,true
has_minimum__AND__has_required,has_minimum,has_required,658,4302,0.132661,0,0,658,4302,0,0,0,0,true
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,655,4305,0.132056,0,0,655,4305,0,0,0,0,true
has_enum__AND__has_pattern,has_enum,has_pattern,639,4321,0.128831,0,0,639,4321,0,0,0,0,true
has_minLength__AND__has_required,has_minLength,has_required,597,4363,0.120363,0,0,597,4363,0,0,0,0,true
has_minItems__AND__has_type,has_minItems,has_type,575,4385,0.115927,0,0,575,4385,0,0,0,0,true
has_defs__AND__has_enum,has_defs,has_enum,570,4390,0.114919,0,0,570,4390,0,0,0,0,true
has_minItems__AND__has_properties,has_minItems,has_properties,566,4394,0.114113,0,0,566,4394,0,0,0,0,true
has_items__AND__has_minItems,has_items,has_minItems,565,4395,0.113911,0,0,565,4395,0,0,0,0,true
has_default__AND__has_enum,has_default,has_enum,563,4397,0.113508,0,0,563,4397,0,0,0,0,true
has_enum__AND__has_ref,has_enum,has_ref,551,4409,0.111089,0,0,551,4409,0,0,0,0,true
has_maxLength__AND__has_type,has_maxLength,has_type,545,4415,0.109879,0,0,545,4415,0,0,0,0,true
has_maxLength__AND__has_properties,has_maxLength,has_properties,540,4420,0.108871,0,0,540,4420,0,0,0,0,true
has_minItems__AND__has_required,has_minItems,has_required,539,4421,0.108669,0,0,539,4421,0,0,0,0,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,530,4430,0.106855,0,0,530,4430,0,0,0,0,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,504,4456,0.101613,0,0,504,4456,0,0,0,0,true
has_oneOf__AND__has_type,has_oneOf,has_type,502,4458,0.10121,0,0,502,4458,0,0,0,0,true
has_default__AND__has_items,has_default,has_items,499,4461,0.100605,0,0,499,4461,0,0,0,0,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,497,4463,0.100202,0,0,497,4463,0,0,0,0,true
has_oneOf__AND__has_required,has_oneOf,has_required,438,4522,0.0883065,0,0,438,4522,0,0,0,0,true
has_maxLength__AND__has_required,has_maxLength,has_required,430,4530,0.0866935,0,0,430,4530,0,0,0,0,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,428,4532,0.0862903,0,0,428,4532,0,0,0,0,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,423,4537,0.0852823,0,0,423,4537,0,0,0,0,true
has_anyOf__AND__has_type,has_anyOf,has_type,412,4548,0.0830645,0,0,412,4548,0,0,0,0,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,410,4550,0.0826613,0,0,410,4550,0,0,0,0,true
has_items__AND__has_minLength,has_items,has_minLength,397,4563,0.0800403,0,0,397,4563,0,0,0,0,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,394,4566,0.0794355,0,0,394,4566,0,0,0,0,true
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,392,4568,0.0790323,0,0,392,4568,0,0,0,0,true
has_items__AND__has_oneOf,has_items,has_oneOf,384,4576,0.0774194,0,0,384,4576,0,0,0,0,true
has_items__AND__has_minimum,has_items,has_minimum,379,4581,0.0764113,0,0,379,4581,0,0,0,0,true
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,378,4582,0.0762097,0,0,378,4582,0,0,0,0,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,372,4588,0.075,0,0,372,4588,0,0,0,0,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,368,4592,0.0741935,0,0,368,4592,0,0,0,0,true
has_maximum__AND__has_type,has_maximum,has_type,352,4608,0.0709677,0,0,352,4608,0,0,0,0,true
