characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,24,4458,18582,0.416667,0.458333,0.285714,0.4,0.0833333
schema_json_chars,q2_mid_low,24,18736,24249,0.291667,0.583333,0.189474,0.615385,0
schema_json_chars,q3_mid_high,23,24465,49468,0.347826,0.434783,0.304348,0.459459,0.0434783
schema_json_chars,q4_high,24,50080,80756,0.0416667,0.0416667,0.0140845,0.0238095,0
schema_file_bytes,q1_low,24,14277,54836,0.208333,0.541667,0.215385,0.555556,0.0416667
schema_file_bytes,q2_mid_low,24,55350,82690,0.458333,0.375,0.375,0.390244,0.0416667
schema_file_bytes,q3_mid_high,23,83729,105184,0.304348,0.26087,0.103896,0.230769,0
schema_file_bytes,q4_high,24,105919,150803,0.125,0.333333,0.057971,0.309524,0.0416667
nb_keywords,q1_low,24,148,433,0.333333,0.5,0.25,0.473684,0.0833333
nb_keywords,q2_mid_low,24,439,537,0.333333,0.583333,0.16129,0.585366,0
nb_keywords,q3_mid_high,23,551,917,0.304348,0.26087,0.222222,0.263158,0.0434783
nb_keywords,q4_high,24,929,1542,0.125,0.166667,0.147541,0.146341,0
nb_properties,q1_low,24,71,147,0.208333,0.416667,0.171429,0.375,0
nb_properties,q2_mid_low,24,148,180,0.208333,0.5,0.168675,0.55,0.0833333
nb_properties,q3_mid_high,24,181,214,0.291667,0.291667,0.219512,0.289474,0.0416667
nb_properties,q4_high,23,215,403,0.391304,0.304348,0.214286,0.25,0
nb_required,q1_low,24,0,11,0.25,0.375,0.153846,0.380952,0.0416667
nb_required,q2_mid_low,24,12,15,0.125,0.166667,0.0933333,0.157895,0
nb_required,q3_mid_high,23,16,56,0.26087,0.521739,0.240964,0.552632,0.0434783
nb_required,q4_high,24,57,317,0.458333,0.458333,0.279412,0.375,0.0416667
schema_depth,q1_low,61,2,8,0.278689,0.377049,0.140097,0.358491,0.0327869
schema_depth,q2_mid_low,0,,,0,0,0,0,0
schema_depth,q3_mid_high,16,9,9,0.125,0.5,0.146341,0.56,0
schema_depth,q4_high,18,10,18,0.388889,0.277778,0.488372,0.222222,0.0555556
nb_branches_combinators,q1_low,39,0,0,0.333333,0.538462,0.164948,0.5,0.0512821
nb_branches_combinators,q2_mid_low,15,2,12,0.2,0.733333,0.119403,0.76,0
nb_branches_combinators,q3_mid_high,22,14,19,0,0.0454545,0,0.0512821,0
nb_branches_combinators,q4_high,19,20,546,0.526316,0.157895,0.551724,0.115385,0.0526316
nb_enum_values,q1_low,25,0,3,0.32,0.32,0.212121,0.266667,0
nb_enum_values,q2_mid_low,30,5,19,0.1,0.366667,0.0825688,0.365385,0
nb_enum_values,q3_mid_high,16,20,56,0.375,0.4375,0.346939,0.444444,0.0625
nb_enum_values,q4_high,24,69,595,0.375,0.416667,0.238806,0.441176,0.0833333
nb_regex,q1_low,56,0,0,0.178571,0.267857,0.0916031,0.22449,0
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,16,1,2,0.4375,0.5,0.304348,0.6,0.0625
nb_regex,q4_high,23,3,41,0.391304,0.565217,0.252747,0.6,0.0869565
n_tests,q1_low,42,1,4,0.0952381,0.380952,0.0757576,0.349206,0.047619
n_tests,q2_mid_low,25,5,5,0.48,0.24,0.278481,0.195652,0
n_tests,q3_mid_high,12,6,6,0.25,0.583333,0.173913,0.65,0.0833333
n_tests,q4_high,16,7,12,0.4375,0.4375,0.21,0.482759,0
mean_num_tokens,q1_low,24,79.4,264.8,0.166667,0.166667,0.195122,0.131579,0
mean_num_tokens,q2_mid_low,23,269,628.667,0.26087,0.391304,0.181818,0.410256,0
mean_num_tokens,q3_mid_high,23,636,1345.17,0.347826,0.26087,0.258065,0.236842,0.0434783
mean_num_tokens,q4_high,24,1447.67,5847,0.333333,0.666667,0.142857,0.634146,0.0833333
