context_family,context_feature,context_value,support_invalid_tests,support_schemas,under_count,under_rate_invalid_only,baseline_under_rate_invalid_only,under_lift_invalid_only,low_support
combinators,allOf_satisfied_branch_count_bucket,0,14911,4597,0,0,0,0,false
combinators,allOf_satisfied_branch_count_bucket,1,163,49,0,0,0,0,false
combinators,allOf_satisfied_branch_count_bucket,2,102,37,0,0,0,0,false
combinators,allOf_satisfied_branch_count_bucket,3,13,8,0,0,0,0,true
combinators,allOf_satisfied_branch_count_bucket,4-5,18,4,0,0,0,0,true
combinators,allOf_satisfied_branch_count_bucket,6+,1,1,0,0,0,0,true
combinators,allOf_satisfied_branch_ratio,0,14911,4597,0,0,0,0,false
combinators,allOf_satisfied_branch_ratio,0.333333,2,2,0,0,0,0,true
combinators,allOf_satisfied_branch_ratio,0.5,94,32,0,0,0,0,false
combinators,allOf_satisfied_branch_ratio,0.666667,19,10,0,0,0,0,true
combinators,allOf_satisfied_branch_ratio,0.75,3,3,0,0,0,0,true
combinators,allOf_satisfied_branch_ratio,0.8,1,1,0,0,0,0,true
combinators,allOf_satisfied_branch_ratio,0.833333,1,1,0,0,0,0,true
combinators,allOf_satisfied_branch_ratio,1,177,52,0,0,0,0,false
combinators,anyOf_satisfied_branch_count,0,14418,4553,0,0,0,0,false
combinators,anyOf_satisfied_branch_count,1,660,144,0,0,0,0,false
combinators,anyOf_satisfied_branch_count,2,106,37,0,0,0,0,false
combinators,anyOf_satisfied_branch_count,3,4,3,0,0,0,0,true
combinators,anyOf_satisfied_branch_count,4,5,1,0,0,0,0,true
combinators,anyOf_satisfied_branch_count,5,9,4,0,0,0,0,true
combinators,anyOf_satisfied_branch_count,8,6,1,0,0,0,0,true
combinators,anyOf_satisfied_branch_count_bucket,0,14418,4553,0,0,0,0,false
combinators,anyOf_satisfied_branch_count_bucket,1,660,144,0,0,0,0,false
combinators,anyOf_satisfied_branch_count_bucket,2,106,37,0,0,0,0,false
combinators,anyOf_satisfied_branch_count_bucket,3,4,3,0,0,0,0,true
combinators,anyOf_satisfied_branch_count_bucket,4-5,14,5,0,0,0,0,true
