feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_items__AND__has_not,has_items,has_not,12,1811,0.00658256,9,632,20,2889,0.45,0.218761,2.05704,0.231239,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,120,1703,0.0658256,81,560,192,2717,0.421875,0.20611,2.04685,0.215765,true
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,32,1791,0.0175535,23,618,52,2857,0.442308,0.216311,2.04478,0.225997,true
has_maximum__AND__has_minItems,has_maximum,has_minItems,17,1806,0.00932529,12,629,27,2882,0.444444,0.218251,2.03639,0.226193,true
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,49,1774,0.0268788,33,608,76,2833,0.434211,0.214613,2.02322,0.219597,true
has_minItems__AND__has_properties,has_minItems,has_properties,227,1596,0.12452,149,492,379,2530,0.39314,0.194466,2.02163,0.198673,true
has_minItems__AND__has_type,has_minItems,has_type,227,1596,0.12452,149,492,379,2530,0.39314,0.194466,2.02163,0.198673,true
has_anyOf__AND__has_enum,has_anyOf,has_enum,52,1771,0.0285244,38,603,88,2821,0.431818,0.213754,2.02016,0.218064,true
has_anyOf__AND__has_defs,has_anyOf,has_defs,61,1762,0.0334613,44,597,103,2806,0.427184,0.212758,2.00784,0.214426,true
has_default__AND__has_minItems,has_default,has_minItems,29,1794,0.0159078,23,618,53,2856,0.433962,0.216387,2.0055,0.217576,true
has_minItems__AND__has_required,has_minItems,has_required,219,1604,0.120132,143,498,365,2544,0.391781,0.195755,2.00139,0.196026,true
has_anyOf__AND__has_ref,has_anyOf,has_ref,60,1763,0.0329128,43,598,101,2808,0.425743,0.212963,1.99914,0.21278,true
has_additionalProperties__AND__has_const,has_additionalProperties,has_const,17,1806,0.00932529,13,628,30,2879,0.433333,0.218131,1.98657,0.215202,true
has_maxItems__AND__has_required,has_maxItems,has_required,57,1766,0.0312671,32,609,76,2833,0.421053,0.214966,1.95869,0.206086,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,182,1641,0.0998354,120,521,307,2602,0.390879,0.200231,1.95215,0.190649,true
has_oneOf__AND__has_type,has_oneOf,has_type,182,1641,0.0998354,120,521,307,2602,0.390879,0.200231,1.95215,0.190649,true
has_enum__AND__has_maxItems,has_enum,has_maxItems,44,1779,0.024136,19,622,45,2864,0.422222,0.217179,1.94412,0.205043,true
has_items__AND__has_oneOf,has_items,has_oneOf,144,1679,0.0789907,96,545,242,2667,0.396694,0.204349,1.94125,0.192345,true
has_items__AND__has_minItems,has_items,has_minItems,222,1601,0.121777,141,500,371,2538,0.380054,0.197006,1.92915,0.183048,true
has_items__AND__has_minProperties,has_items,has_minProperties,17,1806,0.00932529,12,629,29,2880,0.413793,0.218403,1.89463,0.19539,true
has_boolean_schema__AND__has_const,has_boolean_schema,has_const,16,1807,0.00877674,12,629,29,2880,0.413793,0.218403,1.89463,0.19539,true
has_anyOf__AND__has_required,has_anyOf,has_required,84,1739,0.0460779,57,584,143,2766,0.398601,0.211135,1.8879,0.187466,true
has_minProperties__AND__has_required,has_minProperties,has_required,24,1799,0.0131651,16,625,39,2870,0.410256,0.21777,1.8839,0.192486,true
has_anyOf__AND__has_items,has_anyOf,has_items,67,1756,0.0367526,47,594,118,2791,0.398305,0.212827,1.8715,0.185478,true
has_const__AND__has_properties,has_const,has_properties,19,1804,0.0104224,13,628,32,2877,0.40625,0.218283,1.86112,0.187967,true
has_const__AND__has_type,has_const,has_type,19,1804,0.0104224,13,628,32,2877,0.40625,0.218283,1.86112,0.187967,true
has_minItems__AND__has_minimum,has_minItems,has_minimum,54,1769,0.0296215,36,605,91,2818,0.395604,0.214691,1.84267,0.180913,true
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,18,1805,0.00987383,12,629,30,2879,0.4,0.218479,1.83084,0.181521,true
has_maximum__AND__has_ref,has_maximum,has_ref,27,1796,0.0148108,18,623,46,2863,0.391304,0.217604,1.79824,0.1737,true
has_minProperties__AND__has_properties,has_minProperties,has_properties,25,1798,0.0137137,16,625,41,2868,0.390244,0.217922,1.79075,0.172322,true
has_enum__AND__has_ref,has_enum,has_ref,216,1607,0.118486,134,507,379,2530,0.353562,0.200395,1.76432,0.153167,true
has_maxLength__AND__has_maximum,has_maxLength,has_maximum,45,1778,0.0246846,18,623,47,2862,0.382979,0.21768,1.75937,0.165299,true
has_defs__AND__has_enum,has_defs,has_enum,221,1602,0.121229,135,506,388,2521,0.347938,0.200714,1.7335,0.147224,true
has_anyOf__AND__has_properties,has_anyOf,has_properties,92,1731,0.0504663,57,584,156,2753,0.365385,0.212132,1.72244,0.153252,true
has_anyOf__AND__has_type,has_anyOf,has_type,92,1731,0.0504663,57,584,156,2753,0.365385,0.212132,1.72244,0.153252,true
has_defs__AND__has_minProperties,has_defs,has_minProperties,15,1808,0.0082282,9,632,24,2885,0.375,0.219064,1.71183,0.155936,true
has_minProperties__AND__has_ref,has_minProperties,has_ref,15,1808,0.0082282,9,632,24,2885,0.375,0.219064,1.71183,0.155936,true
has_minItems__AND__has_minProperties,has_minItems,has_minProperties,13,1810,0.0071311,9,632,24,2885,0.375,0.219064,1.71183,0.155936,true
