feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,timeout_with_pair,timeout_without_pair,timeout_denominator_with,timeout_denominator_without,timeout_rate_with,timeout_rate_without,lift,delta,eligible_lift
has_maxLength__AND__has_properties,has_maxLength,has_properties,252,1571,0.138234,96,11,252,1571,0.380952,0.00700191,54.4069,0.37395,true
has_maxLength__AND__has_type,has_maxLength,has_type,252,1571,0.138234,96,11,252,1571,0.380952,0.00700191,54.4069,0.37395,true
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,169,1654,0.0927043,87,20,169,1654,0.514793,0.0120919,42.5734,0.502701,true
has_maxLength__AND__has_minLength,has_maxLength,has_minLength,197,1626,0.108064,89,18,197,1626,0.451777,0.0110701,40.8105,0.440707,true
has_minLength__AND__has_pattern,has_minLength,has_pattern,185,1638,0.101481,85,22,185,1638,0.459459,0.013431,34.2088,0.446028,true
has_pattern__AND__has_properties,has_pattern,has_properties,512,1311,0.280856,98,9,512,1311,0.191406,0.00686499,27.8815,0.184541,true
has_pattern__AND__has_type,has_pattern,has_type,512,1311,0.280856,98,9,512,1311,0.191406,0.00686499,27.8815,0.184541,true
has_minLength__AND__has_properties,has_minLength,has_properties,313,1510,0.171695,91,16,313,1510,0.290735,0.010596,27.4381,0.280139,true
has_minLength__AND__has_type,has_minLength,has_type,313,1510,0.171695,91,16,313,1510,0.290735,0.010596,27.4381,0.280139,true
has_boolean_schema__AND__has_maxLength,has_boolean_schema,has_maxLength,164,1659,0.0899616,73,34,164,1659,0.445122,0.0204943,21.7193,0.424628,true
has_additionalProperties__AND__has_maxLength,has_additionalProperties,has_maxLength,166,1657,0.0910587,73,34,166,1657,0.439759,0.020519,21.4318,0.41924,true
has_enum__AND__has_maxLength,has_enum,has_maxLength,156,1667,0.0855732,67,40,156,1667,0.429487,0.0239952,17.8989,0.405492,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,189,1634,0.103675,71,36,189,1634,0.375661,0.0220318,17.0509,0.35363,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,193,1630,0.105869,71,36,193,1630,0.367876,0.0220859,16.6566,0.34579,true
has_maxItems__AND__has_maxLength,has_maxItems,has_maxLength,28,1795,0.0153593,19,88,28,1795,0.678571,0.0490251,13.8413,0.629546,true
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,1800,0.0126166,16,91,23,1800,0.695652,0.0505556,13.7602,0.645097,true
has_enum__AND__has_minLength,has_enum,has_minLength,175,1648,0.0959956,63,44,175,1648,0.36,0.026699,13.4836,0.333301,true
has_maxItems__AND__has_minLength,has_maxItems,has_minLength,28,1795,0.0153593,18,89,28,1795,0.642857,0.0495822,12.9655,0.593275,true
