feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_additionalProperties__AND__has_multipleOf,has_additionalProperties,has_multipleOf,9,1814,0.00493692,10,975,18,5463,0.555556,0.178473,3.11282,0.377082,false
has_boolean_schema__AND__has_multipleOf,has_boolean_schema,has_multipleOf,9,1814,0.00493692,10,975,18,5463,0.555556,0.178473,3.11282,0.377082,false
has_multipleOf__AND__has_properties,has_multipleOf,has_properties,9,1814,0.00493692,10,975,18,5463,0.555556,0.178473,3.11282,0.377082,false
has_multipleOf__AND__has_type,has_multipleOf,has_type,9,1814,0.00493692,10,975,18,5463,0.555556,0.178473,3.11282,0.377082,false
has_exclusiveMinimum__AND__has_minItems,has_exclusiveMinimum,has_minItems,4,1819,0.00219419,16,969,29,5452,0.551724,0.177733,3.10423,0.373991,false
has_enum__AND__has_multipleOf,has_enum,has_multipleOf,4,1819,0.00219419,6,979,11,5470,0.545455,0.178976,3.04764,0.366478,false
has_items__AND__has_multipleOf,has_items,has_multipleOf,4,1819,0.00219419,6,979,11,5470,0.545455,0.178976,3.04764,0.366478,false
has_enum__AND__has_exclusiveMinimum,has_enum,has_exclusiveMinimum,2,1821,0.00109709,6,979,11,5470,0.545455,0.178976,3.04764,0.366478,false
has_exclusiveMinimum__AND__has_maximum,has_exclusiveMinimum,has_maximum,2,1821,0.00109709,6,979,11,5470,0.545455,0.178976,3.04764,0.366478,false
has_exclusiveMinimum__AND__has_maxLength,has_exclusiveMinimum,has_maxLength,1,1822,0.000548546,5,980,10,5471,0.5,0.179126,2.79133,0.320874,false
has_exclusiveMinimum__AND__has_pattern,has_exclusiveMinimum,has_pattern,1,1822,0.000548546,5,980,10,5471,0.5,0.179126,2.79133,0.320874,false
has_allOf__AND__has_maximum,has_allOf,has_maximum,4,1819,0.00219419,9,976,20,5461,0.45,0.178722,2.51788,0.271278,false
has_exclusiveMinimum__AND__has_oneOf,has_exclusiveMinimum,has_oneOf,3,1820,0.00164564,4,981,9,5472,0.444444,0.179276,2.4791,0.265168,false
has_minLength__AND__has_not,has_minLength,has_not,6,1817,0.00329128,6,979,14,5467,0.428571,0.179074,2.39326,0.249497,false
has_minimum__AND__has_multipleOf,has_minimum,has_multipleOf,2,1821,0.00109709,3,982,7,5474,0.428571,0.179393,2.389,0.249178,false
has_allOf__AND__has_const,has_allOf,has_const,2,1821,0.00109709,2,983,5,5476,0.4,0.179511,2.22828,0.220489,false
has_maxItems__AND__has_multipleOf,has_maxItems,has_multipleOf,1,1822,0.000548546,2,983,5,5476,0.4,0.179511,2.22828,0.220489,false
has_maximum__AND__has_multipleOf,has_maximum,has_multipleOf,1,1822,0.000548546,2,983,5,5476,0.4,0.179511,2.22828,0.220489,false
has_minItems__AND__has_multipleOf,has_minItems,has_multipleOf,1,1822,0.000548546,2,983,5,5476,0.4,0.179511,2.22828,0.220489,false
has_minLength__AND__has_multipleOf,has_minLength,has_multipleOf,1,1822,0.000548546,2,983,5,5476,0.4,0.179511,2.22828,0.220489,false
has_multipleOf__AND__has_pattern,has_multipleOf,has_pattern,1,1822,0.000548546,2,983,5,5476,0.4,0.179511,2.22828,0.220489,false
has_allOf__AND__has_patternProperties,has_allOf,has_patternProperties,3,1820,0.00164564,5,980,13,5468,0.384615,0.179225,2.146,0.205391,false
has_additionalProperties__AND__has_exclusiveMinimum,has_additionalProperties,has_exclusiveMinimum,3,1820,0.00164564,6,979,16,5465,0.375,0.17914,2.09334,0.19586,false
has_boolean_schema__AND__has_exclusiveMinimum,has_boolean_schema,has_exclusiveMinimum,3,1820,0.00164564,6,979,16,5465,0.375,0.17914,2.09334,0.19586,false
has_maxLength__AND__has_multipleOf,has_maxLength,has_multipleOf,2,1821,0.00109709,3,982,8,5473,0.375,0.179426,2.08999,0.195574,false
has_minLength__AND__has_minProperties,has_minLength,has_minProperties,5,1818,0.00274273,6,979,18,5463,0.333333,0.179206,1.86006,0.154128,false
has_exclusiveMinimum__AND__has_minimum,has_exclusiveMinimum,has_minimum,2,1821,0.00109709,2,983,9,5472,0.222222,0.179642,1.23703,0.0425804,false
has_maximum__AND__has_minProperties,has_maximum,has_minProperties,3,1820,0.00164564,3,982,16,5465,0.1875,0.179689,1.04347,0.00781107,false
has_not__AND__has_pattern,has_not,has_pattern,4,1819,0.00219419,3,982,17,5464,0.176471,0.179722,0.98191,-0.00325123,false
has_const__AND__has_minProperties,has_const,has_minProperties,3,1820,0.00164564,2,983,15,5466,0.133333,0.179839,0.741404,-0.0465057,false
has_const__AND__has_oneOf,has_const,has_oneOf,7,1816,0.00383982,2,983,17,5464,0.117647,0.179905,0.653941,-0.0622578,false
has_const__AND__has_patternProperties,has_const,has_patternProperties,5,1818,0.00274273,2,983,18,5463,0.111111,0.179938,0.617497,-0.0688267,false
has_defs__AND__has_exclusiveMinimum,has_defs,has_exclusiveMinimum,2,1821,0.00109709,1,984,10,5471,0.1,0.179857,0.555996,-0.0798574,false
has_exclusiveMinimum__AND__has_ref,has_exclusiveMinimum,has_ref,2,1821,0.00109709,1,984,10,5471,0.1,0.179857,0.555996,-0.0798574,false
has_maxLength__AND__has_minProperties,has_maxLength,has_minProperties,2,1821,0.00109709,1,984,11,5470,0.0909091,0.17989,0.505358,-0.0889812,false
has_minProperties__AND__has_not,has_minProperties,has_not,2,1821,0.00109709,1,984,13,5468,0.0769231,0.179956,0.427455,-0.103033,false
has_not__AND__has_patternProperties,has_not,has_patternProperties,4,1819,0.00219419,1,984,18,5463,0.0555556,0.180121,0.308435,-0.124565,false
has_allOf__AND__has_maxLength,has_allOf,has_maxLength,4,1819,0.00219419,1,984,19,5462,0.0526316,0.180154,0.292148,-0.127522,false
has_properties__AND__has_type,has_properties,has_type,1819,4,0.997806,983,2,5479,2,0.179412,1,0.179412,-0.820588,false
has_additionalProperties__AND__has_contains,has_additionalProperties,has_contains,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_anyOf__AND__has_contains,has_anyOf,has_contains,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_const__AND__has_contains,has_const,has_contains,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_defs,has_contains,has_defs,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_enum,has_contains,has_enum,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_if_then_else,has_contains,has_if_then_else,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_items,has_contains,has_items,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_minItems,has_contains,has_minItems,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_pattern,has_contains,has_pattern,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_patternProperties,has_contains,has_patternProperties,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_properties,has_contains,has_properties,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_propertyNames,has_contains,has_propertyNames,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_ref,has_contains,has_ref,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_required,has_contains,has_required,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_contains__AND__has_type,has_contains,has_type,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_content__AND__has_enum,has_content,has_enum,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_content__AND__has_required,has_content,has_required,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_default__AND__has_minProperties,has_default,has_minProperties,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_if_then_else__AND__has_propertyNames,has_if_then_else,has_propertyNames,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_minItems__AND__has_propertyNames,has_minItems,has_propertyNames,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_patternProperties__AND__has_propertyNames,has_patternProperties,has_propertyNames,1,1822,0.000548546,0,985,2,5479,0,0.179777,0,-0.179777,false
has_const__AND__has_maxLength,has_const,has_maxLength,2,1821,0.00109709,0,985,3,5478,0,0.17981,0,-0.17981,false
has_content__AND__has_default,has_content,has_default,2,1821,0.00109709,0,985,4,5477,0,0.179843,0,-0.179843,false
has_content__AND__has_maxLength,has_content,has_maxLength,2,1821,0.00109709,0,985,4,5477,0,0.179843,0,-0.179843,false
has_content__AND__has_oneOf,has_content,has_oneOf,2,1821,0.00109709,0,985,4,5477,0,0.179843,0,-0.179843,false
has_content__AND__has_properties,has_content,has_properties,2,1821,0.00109709,0,985,4,5477,0,0.179843,0,-0.179843,false
has_content__AND__has_type,has_content,has_type,2,1821,0.00109709,0,985,4,5477,0,0.179843,0,-0.179843,false
has_maxLength__AND__has_not,has_maxLength,has_not,2,1821,0.00109709,0,985,5,5476,0,0.179876,0,-0.179876,false
has_default__AND__has_if_then_else,has_default,has_if_then_else,1,1822,0.000548546,0,985,5,5476,0,0.179876,0,-0.179876,false
has_if_then_else__AND__has_not,has_if_then_else,has_not,1,1822,0.000548546,0,985,5,5476,0,0.179876,0,-0.179876,false
