feature,schemas_with_feature,schemas_without_feature,over_with_feature,over_without_feature,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,support,global_over_rate,eligible_lift
has_patternProperties,22,343,31,28,33,422,0.939394,0.0663507,14.158,0.873043,0.060274,0.12967,true
has_minLength,28,337,9,50,35,420,0.257143,0.119048,2.16,0.138095,0.0767123,0.12967,true
has_oneOf,46,319,13,46,66,389,0.19697,0.118252,1.66568,0.0787178,0.126027,0.12967,true
has_maxLength,22,343,4,55,24,431,0.166667,0.12761,1.30606,0.0390565,0.060274,0.12967,true
has_minItems,15,350,3,56,20,435,0.15,0.128736,1.16518,0.0212644,0.0410959,0.12967,true
deep_schema,29,336,6,53,49,406,0.122449,0.130542,0.938005,-0.00809289,0.0794521,0.12967,true
has_boolean_schema,112,253,19,40,156,299,0.121795,0.133779,0.910417,-0.0119844,0.306849,0.12967,true
has_additionalProperties,116,249,19,40,161,294,0.118012,0.136054,0.867391,-0.018042,0.317808,0.12967,true
has_pattern,33,332,4,55,38,417,0.105263,0.131894,0.798086,-0.0266313,0.090411,0.12967,true
many_properties,29,336,5,54,49,406,0.102041,0.133005,0.767196,-0.0309641,0.0794521,0.12967,true
has_defs,33,332,5,54,50,405,0.1,0.133333,0.75,-0.0333333,0.090411,0.12967,true
has_items,67,298,9,50,90,365,0.1,0.136986,0.73,-0.0369863,0.183562,0.12967,true
many_required,26,339,4,55,42,413,0.0952381,0.133172,0.715152,-0.0379338,0.0712329,0.12967,true
large_enum,29,336,4,55,44,411,0.0909091,0.13382,0.679339,-0.0429109,0.0794521,0.12967,true
has_required,140,225,19,40,189,266,0.100529,0.150376,0.668519,-0.0498468,0.383562,0.12967,true
has_minimum,21,344,2,57,24,431,0.0833333,0.132251,0.630117,-0.0489172,0.0575342,0.12967,true
has_properties,265,100,33,26,346,109,0.0953757,0.238532,0.399844,-0.143156,0.726027,0.12967,true
has_enum,86,279,5,54,114,341,0.0438596,0.158358,0.276966,-0.114498,0.235616,0.12967,true
has_default,29,336,0,59,33,422,0,0.13981,0,-0.13981,0.0794521,0.12967,true
has_allOf,21,344,0,59,34,421,0,0.140143,0,-0.140143,0.0575342,0.12967,true
has_anyOf,26,339,0,59,36,419,0,0.140811,0,-0.140811,0.0712329,0.12967,true
has_minProperties,3,362,3,56,5,450,0.6,0.124444,4.82143,0.475556,0.00821918,0.12967,false
has_maxItems,5,360,2,57,6,449,0.333333,0.126949,2.62573,0.206385,0.0136986,0.12967,false
has_not,7,358,2,57,8,447,0.25,0.127517,1.96053,0.122483,0.0191781,0.12967,false
has_ref,10,355,2,57,14,441,0.142857,0.129252,1.10526,0.0136054,0.0273973,0.12967,false
has_type,357,8,56,3,444,11,0.126126,0.272727,0.462462,-0.146601,0.978082,0.12967,false
has_multipleOf,2,363,0,59,2,453,0,0.130243,0,-0.130243,0.00547945,0.12967,false
has_maximum,8,357,0,59,8,447,0,0.131991,0,-0.131991,0.0219178,0.12967,false
