feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_minimum__AND__has_pattern,has_minimum,has_pattern,1,364,0.00273973,1,69,5,751,0.2,0.0918775,2.17681,0.108123,false
has_minItems__AND__has_pattern,has_minItems,has_pattern,4,361,0.0109589,3,67,18,738,0.166667,0.0907859,1.83582,0.0758808,false
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,3,362,0.00821918,2,68,12,744,0.166667,0.0913978,1.82353,0.0752688,false
has_anyOf__AND__has_defs,has_anyOf,has_defs,3,362,0.00821918,2,68,12,744,0.166667,0.0913978,1.82353,0.0752688,false
has_anyOf__AND__has_ref,has_anyOf,has_ref,3,362,0.00821918,2,68,12,744,0.166667,0.0913978,1.82353,0.0752688,false
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,3,362,0.00821918,2,68,12,744,0.166667,0.0913978,1.82353,0.0752688,false
has_minLength__AND__has_pattern,has_minLength,has_pattern,5,360,0.0136986,3,67,19,737,0.157895,0.0909091,1.73684,0.0669856,false
has_items__AND__has_maxLength,has_items,has_maxLength,4,361,0.0109589,2,68,13,743,0.153846,0.0915209,1.681,0.0623253,false
has_maxLength__AND__has_pattern,has_maxLength,has_pattern,3,362,0.00821918,2,68,13,743,0.153846,0.0915209,1.681,0.0623253,false
has_additionalProperties__AND__has_defs,has_additionalProperties,has_defs,16,349,0.0438356,2,68,14,742,0.142857,0.0916442,1.55882,0.0512129,false
has_boolean_schema__AND__has_defs,has_boolean_schema,has_defs,16,349,0.0438356,2,68,14,742,0.142857,0.0916442,1.55882,0.0512129,false
has_default__AND__has_enum,has_default,has_enum,8,357,0.0219178,2,68,15,741,0.133333,0.0917679,1.45294,0.0415655,false
has_items__AND__has_maximum,has_items,has_maximum,2,363,0.00547945,1,69,8,748,0.125,0.092246,1.35507,0.032754,false
has_maxLength__AND__has_minimum,has_maxLength,has_minimum,2,363,0.00547945,1,69,8,748,0.125,0.092246,1.35507,0.032754,false
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,5,360,0.0136986,2,68,17,739,0.117647,0.0920162,1.27855,0.0256308,false
has_defs__AND__has_required,has_defs,has_required,18,347,0.0493151,2,68,18,738,0.111111,0.0921409,1.20588,0.0189702,false
has_ref__AND__has_required,has_ref,has_required,5,360,0.0136986,2,68,18,738,0.111111,0.0921409,1.20588,0.0189702,false
has_enum__AND__has_minLength,has_enum,has_minLength,5,360,0.0136986,1,69,12,744,0.0833333,0.0927419,0.898551,-0.0094086,false
has_items__AND__has_minimum,has_items,has_minimum,3,362,0.00821918,1,69,12,744,0.0833333,0.0927419,0.898551,-0.0094086,false
has_anyOf__AND__has_pattern,has_anyOf,has_pattern,4,361,0.0109589,1,69,18,738,0.0555556,0.0934959,0.594203,-0.0379404,false
has_maxLength__AND__has_required,has_maxLength,has_required,10,355,0.0273973,1,69,19,737,0.0526316,0.0936228,0.562166,-0.0409912,false
has_allOf__AND__has_items,has_allOf,has_items,11,354,0.030137,0,70,0,756,0,0.0925926,0,-0.0925926,false
has_allOf__AND__has_maxItems,has_allOf,has_maxItems,1,364,0.00273973,0,70,0,756,0,0.0925926,0,-0.0925926,false
