schema_id,dataset_id,schema_path,test_id,test_index,expected_validity,framework_id,framework,actual_result,accepted,result_available,schema_file_bytes,schema_json_chars,instance_json_chars,engine_tokenizer_load_us,engine_init_us,schema_load_us,compile_grammar_us,test_json_dumps_us,tokenize_us,reset_matcher_us,validation_loop_us,compute_mask_us,commit_token_us,max_compute_mask_us,max_commit_token_us,num_tokens,tokens_checked,first_rejected_token_index,error_message,outlines_core_version,schema_serialize_us,regex_build_us,regex_built,regex_chars,regex_bytes,regex_hash,regex_expansion_ratio,regex_num_alternations_proxy,regex_num_groups_proxy,regex_num_repetitions_proxy,regex_max_group_depth_proxy,index_build_us,index_built,guide_init_us,guide_built,total_compile_us,final_status,last_stage,exception_type,exception_message
Github_trivial---o79557.json,Github_trivial,maskbench/data/Github_trivial---o79557.json,Github_trivial---o79557.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,2921,472,224,1202259,661802,618,242745,44,914,9,118519,50747,67645,3371,4650,50,31,30,,0.2.14,13,25,True,73,73,1b919e8a3e0fc805543f7f05083b41ad4deb14110afe518701e29c3d7d8b4673,0.154661017,1,1,5,1,147134,True,8,True,242745,completed,completed,,
Github_trivial---o79557.json,Github_trivial,maskbench/data/Github_trivial---o79557.json,Github_trivial---o79557.json::test_00002,2,valid,outlines,Outlines,passed,True,True,2921,472,103,1202259,661802,618,242745,15,270,4,91350,42248,49007,3515,4282,26,26,,,0.2.14,13,25,True,73,73,1b919e8a3e0fc805543f7f05083b41ad4deb14110afe518701e29c3d7d8b4673,0.154661017,1,1,5,1,147134,True,8,True,242745,completed,completed,,
Github_trivial---o79589.json,Github_trivial,maskbench/data/Github_trivial---o79589.json,Github_trivial---o79589.json::test_00000,0,valid,outlines,Outlines,passed,True,True,855,247,43,1204623,669794,592,9626192,14,822,4,16664,6242,10379,1530,2520,12,12,,,0.2.14,13,27,True,197,197,74aaac1d1c06e6affa5612b64c5df918aeec28f5fd33043620ad5f9a630a33ec,0.79757085,3,10,23,4,9516617,True,5,True,9626192,completed,completed,,
Github_trivial---o79654.json,Github_trivial,maskbench/data/Github_trivial---o79654.json,Github_trivial---o79654.json::test_00000,0,valid,outlines,Outlines,passed,True,True,1944,147,13,1232439,678553,605,196855,13,798,4,332,96,210,36,93,6,6,,,0.2.14,15,37,True,47,47,fbb8a03f8947422480b9722f5e79fcc03c04e86f7dddb6f6b8d76b9e4b50ee46,0.319727891,1,2,6,1,86384,True,4,True,196855,completed,completed,,
Github_trivial---o79654.json,Github_trivial,maskbench/data/Github_trivial---o79654.json,Github_trivial---o79654.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,1944,147,31,1232439,678553,605,196855,17,202,4,398,126,244,39,113,12,6,5,,0.2.14,15,37,True,47,47,fbb8a03f8947422480b9722f5e79fcc03c04e86f7dddb6f6b8d76b9e4b50ee46,0.319727891,1,2,6,1,86384,True,4,True,196855,completed,completed,,
Github_trivial---o79654.json,Github_trivial,maskbench/data/Github_trivial---o79654.json,Github_trivial---o79654.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,1944,147,42,1232439,678553,605,196855,16,203,3,467,165,279,47,107,14,6,5,,0.2.14,15,37,True,47,47,fbb8a03f8947422480b9722f5e79fcc03c04e86f7dddb6f6b8d76b9e4b50ee46,0.319727891,1,2,6,1,86384,True,4,True,196855,completed,completed,,
Github_trivial---o79715.json,Github_trivial,maskbench/data/Github_trivial---o79715.json,Github_trivial---o79715.json::test_00000,0,valid,outlines,Outlines,passed,True,True,2655,350,21,1207975,664284,544,487519,13,771,4,33,8,7,7,3,6,6,,,0.2.14,18,40,True,139,139,a56d6f01992fa15bfc1842ce8d5b6b5f7ded42a651f42476da90fbdcfeacbf7e,0.397142857,7,1,4,1,378869,True,5,True,487519,completed,completed,,
Github_trivial---o79715.json,Github_trivial,maskbench/data/Github_trivial---o79715.json,Github_trivial---o79715.json::test_00001,1,invalid,outlines,Outlines,passed,False,True,2655,350,28,1207975,664284,544,487519,19,172,5,34,8,8,6,3,7,5,4,,0.2.14,18,40,True,139,139,a56d6f01992fa15bfc1842ce8d5b6b5f7ded42a651f42476da90fbdcfeacbf7e,0.397142857,7,1,4,1,378869,True,5,True,487519,completed,completed,,
Github_trivial---o79715.json,Github_trivial,maskbench/data/Github_trivial---o79715.json,Github_trivial---o79715.json::test_00002,2,invalid,outlines,Outlines,passed,False,True,2655,350,16,1207975,664284,544,487519,22,187,4,22,5,2,5,2,5,4,3,,0.2.14,18,40,True,139,139,a56d6f01992fa15bfc1842ce8d5b6b5f7ded42a651f42476da90fbdcfeacbf7e,0.397142857,7,1,4,1,378869,True,5,True,487519,completed,completed,,
Github_trivial---o81591.json,Github_trivial,maskbench/data/Github_trivial---o81591.json,Github_trivial---o81591.json::test_00000,0,valid,outlines,Outlines,passed,True,True,2593,205,15,1201644,681305,595,210818,15,774,4,333,101,203,31,83,8,8,,,0.2.14,16,18,True,78,78,85d0b0ee9140c3e817585bc2c8fe596a5766a6bccdb48338e6f7c6b87aea3abf,0.380487805,1,5,10,2,114206,True,4,True,210818,completed,completed,,
