characteristic,bucket,n_schemas,value_min,value_max,schemas_with_under_rate,schemas_with_over_rate,under_test_rate,over_test_rate,timeout_schema_rate
schema_json_chars,q1_low,1018,18,402,0.11002,0.175835,0.0992167,0.189873,0.0157171
schema_json_chars,q2_mid_low,1019,403,696,0.139352,0.194308,0.12092,0.194948,0.016683
schema_json_chars,q3_mid_high,1017,697,1340,0.155359,0.280236,0.121673,0.274739,0.0363815
schema_json_chars,q4_high,1018,1343,80756,0.156189,0.443026,0.102159,0.434251,0.0500982
schema_file_bytes,q1_low,1018,461,2998,0.0825147,0.181729,0.0939876,0.205109,0.00687623
schema_file_bytes,q2_mid_low,1018,3005,5246,0.145383,0.231827,0.137945,0.22322,0.00982318
schema_file_bytes,q3_mid_high,1018,5247,9275,0.189587,0.286837,0.146129,0.271956,0.0284872
schema_file_bytes,q4_high,1018,9282,150803,0.143418,0.392927,0.0754897,0.399876,0.0736739
nb_keywords,q1_low,1057,1,13,0.0974456,0.159886,0.0929626,0.173267,0.00946074
nb_keywords,q2_mid_low,1056,14,22,0.142992,0.208333,0.116448,0.197837,0.0151515
nb_keywords,q3_mid_high,949,23,39,0.178082,0.28451,0.135428,0.270806,0.0389884
nb_keywords,q4_high,1010,40,1542,0.146535,0.449505,0.0991957,0.453002,0.0574257
nb_properties,q1_low,1119,0,3,0.114388,0.170688,0.113799,0.190088,0.0107239
nb_properties,q2_mid_low,945,4,6,0.153439,0.217989,0.118934,0.216312,0.0201058
nb_properties,q3_mid_high,1002,7,12,0.183633,0.285429,0.136301,0.27082,0.0419162
nb_properties,q4_high,1006,13,403,0.11332,0.427435,0.0805059,0.418845,0.0477137
nb_required,q1_low,1251,0,0,0.104716,0.244604,0.0912986,0.252772,0.0359712
nb_required,q2_mid_low,980,1,2,0.155102,0.226531,0.122062,0.245526,0.0438776
nb_required,q3_mid_high,915,3,5,0.187978,0.254645,0.152402,0.252624,0.0163934
nb_required,q4_high,926,6,317,0.12527,0.38013,0.0861448,0.364055,0.0194384
schema_depth,q1_low,1188,0,3,0.145623,0.191077,0.13253,0.196925,0.0185185
schema_depth,q2_mid_low,1208,4,4,0.183775,0.247517,0.153677,0.230471,0.0281457
schema_depth,q3_mid_high,914,5,6,0.123632,0.274617,0.0948337,0.279916,0.0317287
schema_depth,q4_high,762,7,20,0.0826772,0.440945,0.0473146,0.460784,0.0472441
nb_branches_combinators,q1_low,3506,0,0,0.143183,0.24016,0.119915,0.239399,0.0270964
nb_branches_combinators,q2_mid_low,0,,,0,0,0,0,0
nb_branches_combinators,q3_mid_high,0,,,0,0,0,0,0
nb_branches_combinators,q4_high,566,1,546,0.121908,0.478799,0.0641681,0.510112,0.0459364
nb_enum_values,q1_low,2687,0,0,0.153703,0.244138,0.130518,0.246832,0.016003
nb_enum_values,q2_mid_low,0,,,0,0,0,0,0
nb_enum_values,q3_mid_high,378,1,2,0.113757,0.230159,0.0821114,0.233393,0.031746
nb_enum_values,q4_high,1007,3,1554,0.114201,0.367428,0.0720532,0.383065,0.0655412
nb_regex,q1_low,3157,0,0,0.132721,0.229648,0.120124,0.228184,0.0123535
nb_regex,q2_mid_low,0,,,0,0,0,0,0
nb_regex,q3_mid_high,0,,,0,0,0,0,0
nb_regex,q4_high,915,1,41,0.16612,0.424044,0.0910668,0.456218,0.0896175
n_tests,q1_low,1457,1,3,0.0638298,0.301304,0.0707071,0.337137,0.00892244
n_tests,q2_mid_low,939,4,4,0.108626,0.241747,0.0795756,0.233333,0.0223642
n_tests,q3_mid_high,705,5,5,0.150355,0.242553,0.106818,0.234959,0.0269504
n_tests,q4_high,971,6,18,0.278064,0.284243,0.140727,0.281467,0.0700309
mean_num_tokens,q1_low,856,1,29.3333,0.148364,0.0560748,0.149104,0.0509259,0
mean_num_tokens,q2_mid_low,856,29.5,63.5,0.160047,0.142523,0.131568,0.133894,0
mean_num_tokens,q3_mid_high,856,63.6667,129.571,0.219626,0.193925,0.156169,0.15983,0
mean_num_tokens,q4_high,856,129.6,2920.33,0.139019,0.290888,0.0808081,0.255798,0.00116822
