feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_minimum,551,3521,936,306,2206,8970,0.424297,0.0341137,12.4377,0.390184,0.135314,0.111131,true
has_maximum,217,3855,343,899,858,10318,0.399767,0.0871293,4.5882,0.312638,0.0532908,0.111131,true
has_multipleOf,25,4047,30,1212,65,11111,0.461538,0.109081,4.23115,0.352457,0.00613949,0.111131,true
has_exclusiveMinimum,11,4061,20,1222,60,11116,0.333333,0.109932,3.03219,0.223402,0.00270138,0.111131,true
has_properties,3952,120,1229,13,10880,296,0.11296,0.0439189,2.572,0.0690406,0.97053,0.111131,true
has_default,737,3335,406,836,2024,9152,0.200593,0.0913462,2.19596,0.109247,0.180992,0.111131,true
has_required,2872,1200,966,276,8204,2972,0.117747,0.0928668,1.26792,0.0248807,0.705305,0.111131,true
has_maxLength,448,3624,161,1081,1494,9682,0.107764,0.11165,0.965194,-0.00388609,0.11002,0.111131,true
many_properties,1437,2635,451,791,4488,6688,0.10049,0.118272,0.849657,-0.0177813,0.352898,0.111131,true
many_required,1163,2909,358,884,3772,7404,0.0949099,0.119395,0.794924,-0.0244851,0.285609,0.111131,true
has_pattern,795,3277,283,959,3185,7991,0.088854,0.12001,0.740388,-0.031156,0.195236,0.111131,true
has_boolean_schema,1783,2289,489,753,5296,5880,0.0923338,0.128061,0.721013,-0.0357274,0.437868,0.111131,true
has_minLength,561,3511,159,1083,1973,9203,0.0805879,0.117679,0.684811,-0.0370911,0.13777,0.111131,true
has_additionalProperties,1840,2232,495,747,5532,5644,0.0894794,0.132353,0.676067,-0.0428735,0.451866,0.111131,true
has_minProperties,61,4011,14,1228,199,10977,0.0703518,0.11187,0.628869,-0.0415185,0.0149804,0.111131,true
has_patternProperties,192,3880,38,1204,535,10641,0.071028,0.113147,0.627749,-0.0421192,0.0471513,0.111131,true
has_minItems,388,3684,108,1134,1515,9661,0.0712871,0.117379,0.607324,-0.046092,0.0952849,0.111131,true
has_anyOf,221,3851,58,1184,843,10333,0.0688019,0.114584,0.600448,-0.0457824,0.0542731,0.111131,true
has_enum,1385,2687,290,952,3882,7294,0.0747038,0.130518,0.572363,-0.0558145,0.340128,0.111131,true
has_not,39,4033,9,1233,144,11032,0.0625,0.111766,0.559205,-0.0492658,0.0095776,0.111131,true
large_enum,429,3643,76,1166,1258,9918,0.0604134,0.117564,0.513876,-0.0571507,0.105354,0.111131,true
has_oneOf,329,3743,53,1189,899,10277,0.0589544,0.115695,0.509566,-0.0567408,0.0807957,0.111131,true
has_maxItems,143,3929,26,1216,495,10681,0.0525253,0.113847,0.461367,-0.0613218,0.0351179,0.111131,true
has_ref,706,3366,123,1119,2274,8902,0.0540897,0.125702,0.430301,-0.0716124,0.173379,0.111131,true
has_allOf,96,3976,15,1227,315,10861,0.047619,0.112973,0.421508,-0.065354,0.0235756,0.111131,true
has_defs,782,3290,125,1117,2472,8704,0.0505663,0.128332,0.394028,-0.0777655,0.192043,0.111131,true
has_items,1722,2350,330,912,5387,5789,0.0612586,0.15754,0.388844,-0.0962816,0.422888,0.111131,true
has_const,29,4043,4,1238,98,11078,0.0408163,0.111753,0.365237,-0.0709367,0.00712181,0.111131,true
deep_schema,492,3580,50,1192,1480,9696,0.0337838,0.122937,0.274805,-0.0891535,0.120825,0.111131,true
has_maxProperties,20,4052,0,1242,73,11103,0,0.111862,0,-0.111862,0.00491159,0.111131,true
has_type,4062,10,1241,1,11159,17,0.111211,0.0588235,1.89058,0.0523872,0.997544,0.111131,false
has_if_then_else,5,4067,1,1241,15,11161,0.0666667,0.111191,0.59957,-0.0445241,0.0012279,0.111131,false
has_contains,1,4071,0,1242,2,11174,0,0.111151,0,-0.111151,0.00024558,0.111131,false
has_content,2,4070,0,1242,4,11172,0,0.111171,0,-0.111171,0.000491159,0.111131,false
has_propertyNames,3,4069,0,1242,13,11163,0,0.11126,0,-0.11126,0.000736739,0.111131,false
has_exclusiveMaximum,3,4069,0,1242,14,11162,0,0.11127,0,-0.11127,0.000736739,0.111131,false
