feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_patternProperties__AND__has_properties,has_patternProperties,has_properties,122,766,0.137387,168,264,192,1214,0.875,0.217463,4.02367,0.657537,true
has_patternProperties__AND__has_type,has_patternProperties,has_type,122,766,0.137387,168,264,192,1214,0.875,0.217463,4.02367,0.657537,true
has_patternProperties__AND__has_required,has_patternProperties,has_required,116,772,0.130631,160,272,184,1222,0.869565,0.222586,3.90665,0.646979,true
has_additionalProperties__AND__has_patternProperties,has_additionalProperties,has_patternProperties,113,775,0.127252,153,279,177,1229,0.864407,0.227014,3.80773,0.637393,true
has_boolean_schema__AND__has_patternProperties,has_boolean_schema,has_patternProperties,111,777,0.125,150,282,174,1232,0.862069,0.228896,3.7662,0.633173,true
has_items__AND__has_patternProperties,has_items,has_patternProperties,112,776,0.126126,148,284,172,1234,0.860465,0.230146,3.73878,0.630319,true
has_defs__AND__has_patternProperties,has_defs,has_patternProperties,92,796,0.103604,135,297,157,1249,0.859873,0.23779,3.6161,0.622082,true
has_patternProperties__AND__has_ref,has_patternProperties,has_ref,92,796,0.103604,134,298,156,1250,0.858974,0.2384,3.60308,0.620574,true
has_oneOf__AND__has_patternProperties,has_oneOf,has_patternProperties,74,814,0.0833333,101,331,113,1293,0.893805,0.255994,3.49151,0.637811,true
has_enum__AND__has_patternProperties,has_enum,has_patternProperties,85,803,0.0957207,107,325,127,1279,0.84252,0.254105,3.31564,0.588415,true
has_minimum__AND__has_patternProperties,has_minimum,has_patternProperties,51,837,0.0574324,73,359,83,1323,0.879518,0.271353,3.24123,0.608165,true
has_maximum__AND__has_patternProperties,has_maximum,has_patternProperties,39,849,0.0439189,55,377,61,1345,0.901639,0.280297,3.21672,0.621342,true
has_minLength__AND__has_patternProperties,has_minLength,has_patternProperties,39,849,0.0439189,46,386,52,1354,0.884615,0.285081,3.10303,0.599534,true
has_pattern__AND__has_patternProperties,has_pattern,has_patternProperties,58,830,0.0653153,66,366,78,1328,0.846154,0.275602,3.0702,0.570551,true
has_anyOf__AND__has_patternProperties,has_anyOf,has_patternProperties,57,831,0.0641892,81,351,99,1307,0.818182,0.268554,3.04662,0.549628,true
has_default__AND__has_patternProperties,has_default,has_patternProperties,31,857,0.0349099,46,386,56,1350,0.821429,0.285926,2.87287,0.535503,true
has_minItems__AND__has_patternProperties,has_minItems,has_patternProperties,28,860,0.0315315,36,396,46,1360,0.782609,0.291176,2.68775,0.491432,true
has_maximum__AND__has_oneOf,has_maximum,has_oneOf,37,851,0.0416667,39,393,52,1354,0.75,0.290251,2.58397,0.459749,true
has_anyOf__AND__has_maximum,has_anyOf,has_maximum,26,862,0.0292793,38,394,51,1355,0.745098,0.290775,2.56246,0.454323,true
has_anyOf__AND__has_minimum,has_anyOf,has_minimum,45,843,0.0506757,60,372,84,1322,0.714286,0.281392,2.5384,0.432894,true
has_maximum__AND__has_minLength,has_maximum,has_minLength,51,837,0.0574324,33,399,45,1361,0.733333,0.293167,2.50142,0.440167,true
has_minimum__AND__has_oneOf,has_minimum,has_oneOf,60,828,0.0675676,63,369,93,1313,0.677419,0.281036,2.41044,0.396384,true
has_maxLength__AND__has_patternProperties,has_maxLength,has_patternProperties,23,865,0.0259009,15,417,21,1385,0.714286,0.301083,2.37239,0.413203,true
has_minLength__AND__has_oneOf,has_minLength,has_oneOf,38,850,0.0427928,33,399,49,1357,0.673469,0.294031,2.29047,0.379438,true
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,67,821,0.0754505,71,361,112,1294,0.633929,0.27898,2.27231,0.354949,true
has_allOf__AND__has_minItems,has_allOf,has_minItems,17,871,0.0191441,18,414,27,1379,0.666667,0.300218,2.22061,0.366449,true
has_allOf__AND__has_patternProperties,has_allOf,has_patternProperties,22,866,0.0247748,23,409,35,1371,0.657143,0.298322,2.20279,0.35882,true
has_oneOf__AND__has_required,has_oneOf,has_required,161,727,0.181306,142,290,258,1148,0.550388,0.252613,2.17878,0.297774,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,141,747,0.158784,124,308,221,1185,0.561086,0.259916,2.15872,0.30117,true
has_boolean_schema__AND__has_oneOf,has_boolean_schema,has_oneOf,139,749,0.156532,122,310,219,1187,0.557078,0.261163,2.13307,0.295915,true
has_oneOf__AND__has_ref,has_oneOf,has_ref,137,751,0.154279,127,305,230,1176,0.552174,0.259354,2.12904,0.29282,true
has_defs__AND__has_oneOf,has_defs,has_oneOf,138,750,0.155405,128,304,233,1173,0.549356,0.259165,2.11972,0.290192,true
has_oneOf__AND__has_properties,has_oneOf,has_properties,173,715,0.19482,146,286,277,1129,0.527076,0.253322,2.08066,0.273754,true
has_oneOf__AND__has_type,has_oneOf,has_type,173,715,0.19482,146,286,277,1129,0.527076,0.253322,2.08066,0.273754,true
has_defs__AND__has_minLength,has_defs,has_minLength,51,837,0.0574324,52,380,87,1319,0.597701,0.288097,2.07465,0.309604,true
has_minLength__AND__has_ref,has_minLength,has_ref,48,840,0.0540541,49,383,82,1324,0.597561,0.289275,2.06572,0.308286,true
has_items__AND__has_oneOf,has_items,has_oneOf,167,721,0.188063,138,294,265,1141,0.520755,0.257669,2.02102,0.263086,true
has_maximum__AND__has_pattern,has_maximum,has_pattern,63,825,0.0709459,42,390,72,1334,0.583333,0.292354,1.9953,0.29098,true
has_allOf__AND__has_minimum,has_allOf,has_minimum,19,869,0.0213964,18,414,30,1376,0.6,0.300872,1.9942,0.299128,true
has_additionalProperties__AND__has_not,has_additionalProperties,has_not,13,875,0.0146396,12,420,20,1386,0.6,0.30303,1.98,0.29697,true
has_boolean_schema__AND__has_not,has_boolean_schema,has_not,13,875,0.0146396,12,420,20,1386,0.6,0.30303,1.98,0.29697,true
has_defs__AND__has_minimum,has_defs,has_minimum,109,779,0.122748,99,333,187,1219,0.529412,0.273175,1.938,0.256237,true
has_minimum__AND__has_ref,has_minimum,has_ref,105,783,0.118243,96,336,181,1225,0.530387,0.274286,1.9337,0.256101,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,98,790,0.11036,65,367,121,1285,0.53719,0.285603,1.8809,0.251587,true
has_enum__AND__has_oneOf,has_enum,has_oneOf,124,764,0.13964,96,336,187,1219,0.513369,0.275636,1.86249,0.237733,true
has_minLength__AND__has_minimum,has_minLength,has_minimum,69,819,0.0777027,41,391,75,1331,0.546667,0.293764,1.8609,0.252903,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,97,791,0.109234,63,369,119,1287,0.529412,0.286713,1.84648,0.242698,true
has_defs__AND__has_maximum,has_defs,has_maximum,68,820,0.0765766,62,370,118,1288,0.525424,0.287267,1.82904,0.238157,true
has_anyOf__AND__has_defs,has_anyOf,has_defs,151,737,0.170045,122,310,249,1157,0.48996,0.267934,1.82866,0.222026,true
has_anyOf__AND__has_ref,has_anyOf,has_ref,152,736,0.171171,122,310,251,1155,0.486056,0.268398,1.81095,0.217658,true
has_maximum__AND__has_ref,has_maximum,has_ref,65,823,0.0731982,59,373,114,1292,0.517544,0.2887,1.79267,0.228844,true
has_defs__AND__has_required,has_defs,has_required,317,571,0.356982,220,212,521,885,0.422265,0.239548,1.76276,0.182717,true
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,22,866,0.0247748,19,413,36,1370,0.527778,0.30146,1.75074,0.226318,true
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,22,866,0.0247748,19,413,36,1370,0.527778,0.30146,1.75074,0.226318,true
has_allOf__AND__has_anyOf,has_allOf,has_anyOf,24,864,0.027027,20,412,38,1368,0.526316,0.30117,1.74757,0.225146,true
