feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_default__AND__has_exclusiveMinimum,has_default,has_exclusiveMinimum,4,884,0.0045045,0,440,11,3100,0,0.141935,0,-0.141935,false
has_enum__AND__has_exclusiveMinimum,has_enum,has_exclusiveMinimum,4,884,0.0045045,0,440,11,3100,0,0.141935,0,-0.141935,false
has_if_then_else__AND__has_minLength,has_if_then_else,has_minLength,2,886,0.00225225,0,440,11,3100,0,0.141935,0,-0.141935,false
has_maxItems__AND__has_multipleOf,has_maxItems,has_multipleOf,2,886,0.00225225,0,440,13,3098,0,0.142027,0,-0.142027,false
has_minProperties__AND__has_multipleOf,has_minProperties,has_multipleOf,2,886,0.00225225,0,440,13,3098,0,0.142027,0,-0.142027,false
has_boolean_schema__AND__has_exclusiveMinimum,has_boolean_schema,has_exclusiveMinimum,2,886,0.00225225,0,440,14,3097,0,0.142073,0,-0.142073,false
has_maxProperties__AND__has_oneOf,has_maxProperties,has_oneOf,3,885,0.00337838,0,440,17,3094,0,0.142211,0,-0.142211,false
has_if_then_else__AND__has_oneOf,has_if_then_else,has_oneOf,2,886,0.00225225,0,440,17,3094,0,0.142211,0,-0.142211,false
has_oneOf__AND__has_propertyNames,has_oneOf,has_propertyNames,3,885,0.00337838,0,440,18,3093,0,0.142257,0,-0.142257,false
has_const__AND__has_maxProperties,has_const,has_maxProperties,2,886,0.00225225,0,440,18,3093,0,0.142257,0,-0.142257,false
has_if_then_else__AND__has_patternProperties,has_if_then_else,has_patternProperties,3,885,0.00337838,0,440,19,3092,0,0.142303,0,-0.142303,false
has_const__AND__has_minProperties,has_const,has_minProperties,3,885,0.00337838,0,440,23,3088,0,0.142487,0,-0.142487,false
has_patternProperties__AND__has_propertyNames,has_patternProperties,has_propertyNames,4,884,0.0045045,0,440,24,3087,0,0.142533,0,-0.142533,false
has_allOf__AND__has_maxProperties,has_allOf,has_maxProperties,3,885,0.00337838,0,440,25,3086,0,0.142579,0,-0.142579,false
has_allOf__AND__has_minProperties,has_allOf,has_minProperties,4,884,0.0045045,0,440,26,3085,0,0.142626,0,-0.142626,false
