feature,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
has_additionalProperties,0.5625,0.823529,0.569444,0.588015,368,51,216,267
has_allOf,0.0217391,0.0196078,0.0972222,0.0898876,368,51,216,267
has_anyOf,0.19837,0,0.212963,0.284644,368,51,216,267
has_boolean_schema,0.554348,0.823529,0.560185,0.520599,368,51,216,267
has_const,0,0,0.0231481,0.0224719,368,51,216,267
has_content,0.00271739,0,0,0,368,51,216,267
has_default,0.51087,0.215686,0.416667,0.367041,368,51,216,267
has_defs,0.282609,0.176471,0.509259,0.543071,368,51,216,267
has_enum,0.660326,0.705882,0.592593,0.655431,368,51,216,267
has_exclusiveMaximum,0,0,0.00462963,0,368,51,216,267
has_exclusiveMinimum,0,0,0,0.0187266,368,51,216,267
has_if_then_else,0,0,0.00462963,0.0149813,368,51,216,267
has_items,0.692935,0.901961,0.837963,0.76779,368,51,216,267
has_maxItems,0.0108696,0.470588,0.138889,0.0524345,368,51,216,267
has_maxLength,0.0244565,0.745098,0.125,0.0861423,368,51,216,267
has_maxProperties,0.00271739,0,0.0231481,0.0187266,368,51,216,267
has_maximum,0.0652174,0.470588,0.189815,0.187266,368,51,216,267
has_minItems,0.0380435,0.431373,0.486111,0.209738,368,51,216,267
has_minLength,0.0434783,0.686275,0.208333,0.168539,368,51,216,267
has_minProperties,0.013587,0,0.037037,0.0449438,368,51,216,267
has_minimum,0.108696,0.529412,0.384259,0.292135,368,51,216,267
has_multipleOf,0.00271739,0.0196078,0.0277778,0.0187266,368,51,216,267
has_not,0.00543478,0.0196078,0.0277778,0.0299625,368,51,216,267
has_oneOf,0.108696,0.254902,0.166667,0.322097,368,51,216,267
has_pattern,0.361413,0.843137,0.361111,0.329588,368,51,216,267
has_patternProperties,0.00543478,0.235294,0.0601852,0.359551,368,51,216,267
has_properties,1,1,1,1,368,51,216,267
has_propertyNames,0,0,0.0138889,0.0187266,368,51,216,267
has_ref,0.263587,0.176471,0.490741,0.516854,368,51,216,267
has_required,0.752717,0.901961,0.939815,0.883895,368,51,216,267
has_type,1,1,1,1,368,51,216,267
large_enum,0.355978,0.588235,0.328704,0.35206,368,51,216,267
many_required,0.654891,0.764706,0.777778,0.734082,368,51,216,267
many_properties,0.994565,1,1,1,368,51,216,267
deep_schema,0.576087,0.529412,0.467593,0.576779,368,51,216,267
