context_family,context_feature,context_value,support_schemas,schemas_with_under,schemas_with_over,schema_under_rate,schema_over_rate,baseline_schema_under_rate,baseline_schema_over_rate,schema_under_lift,schema_over_lift
combinators,allOf_satisfied_branch_count_bucket,0,4715,926,932,0.196394,0.197667,0.202221,0.197611,0.971186,1.00028
combinators,allOf_satisfied_branch_count_bucket,1,57,33,12,0.578947,0.210526,0.202221,0.197611,2.86294,1.06536
combinators,allOf_satisfied_branch_count_bucket,2,48,38,7,0.791667,0.145833,0.202221,0.197611,3.91485,0.737982
combinators,allOf_satisfied_branch_count_bucket,3,13,8,3,0.615385,0.230769,0.202221,0.197611,3.04312,1.1678
combinators,allOf_satisfied_branch_count_bucket,4-5,5,3,2,0.6,0.4,0.202221,0.197611,2.96705,2.02418
combinators,allOf_satisfied_branch_count_bucket,6+,2,1,1,0.5,0.5,0.202221,0.197611,2.47254,2.53022
combinators,allOf_satisfied_branch_ratio,0,4715,926,932,0.196394,0.197667,0.202221,0.197611,0.971186,1.00028
combinators,allOf_satisfied_branch_ratio,0.333333,2,1,1,0.5,0.5,0.202221,0.197611,2.47254,2.53022
combinators,allOf_satisfied_branch_ratio,0.5,32,26,5,0.8125,0.15625,0.202221,0.197611,4.01788,0.790695
combinators,allOf_satisfied_branch_ratio,0.666667,10,8,1,0.8,0.1,0.202221,0.197611,3.95606,0.506045
combinators,allOf_satisfied_branch_ratio,0.75,3,1,2,0.333333,0.666667,0.202221,0.197611,1.64836,3.37363
combinators,allOf_satisfied_branch_ratio,0.8,1,1,0,1,0,0.202221,0.197611,4.94508,0
combinators,allOf_satisfied_branch_ratio,0.833333,1,1,0,1,0,0.202221,0.197611,4.94508,0
combinators,allOf_satisfied_branch_ratio,1,78,47,16,0.602564,0.205128,0.202221,0.197611,2.97973,1.03804
combinators,anyOf_satisfied_branch_count,0,4665,927,905,0.198714,0.193998,0.202221,0.197611,0.982655,0.981716
combinators,anyOf_satisfied_branch_count,1,219,51,38,0.232877,0.173516,0.202221,0.197611,1.15159,0.878068
combinators,anyOf_satisfied_branch_count,2,51,26,19,0.509804,0.372549,0.202221,0.197611,2.52102,1.88526
combinators,anyOf_satisfied_branch_count,3,3,2,1,0.666667,0.333333,0.202221,0.197611,3.29672,1.68682
combinators,anyOf_satisfied_branch_count,4,1,0,1,0,1,0.202221,0.197611,0,5.06045
combinators,anyOf_satisfied_branch_count,5,4,0,3,0,0.75,0.202221,0.197611,0,3.79533
combinators,anyOf_satisfied_branch_count,8,1,1,0,1,0,0.202221,0.197611,4.94508,0
combinators,anyOf_satisfied_branch_count_bucket,0,4665,927,905,0.198714,0.193998,0.202221,0.197611,0.982655,0.981716
combinators,anyOf_satisfied_branch_count_bucket,1,219,51,38,0.232877,0.173516,0.202221,0.197611,1.15159,0.878068
combinators,anyOf_satisfied_branch_count_bucket,2,51,26,19,0.509804,0.372549,0.202221,0.197611,2.52102,1.88526
combinators,anyOf_satisfied_branch_count_bucket,3,3,2,1,0.666667,0.333333,0.202221,0.197611,3.29672,1.68682
combinators,anyOf_satisfied_branch_count_bucket,4-5,5,0,4,0,0.8,0.202221,0.197611,0,4.04836
