context_family,context_feature,context_value,support_schemas,schemas_with_under,schemas_with_over,schema_under_rate,schema_over_rate,baseline_schema_under_rate,baseline_schema_over_rate,schema_under_lift,schema_over_lift
combinators,allOf_satisfied_branch_count_bucket,0,1718,295,608,0.171711,0.3539,0.171659,0.357719,1.0003,0.989324
combinators,allOf_satisfied_branch_count_bucket,1,13,3,8,0.230769,0.615385,0.171659,0.357719,1.34435,1.7203
combinators,allOf_satisfied_branch_count_bucket,2,15,3,12,0.2,0.8,0.171659,0.357719,1.1651,2.23639
combinators,allOf_satisfied_branch_count_bucket,3,6,0,6,0,1,0.171659,0.357719,0,2.79549
combinators,allOf_satisfied_branch_ratio,0,1718,295,608,0.171711,0.3539,0.171659,0.357719,1.0003,0.989324
combinators,allOf_satisfied_branch_ratio,0.333333,1,0,1,0,1,0.171659,0.357719,0,2.79549
combinators,allOf_satisfied_branch_ratio,0.5,6,2,4,0.333333,0.666667,0.171659,0.357719,1.94183,1.86366
combinators,allOf_satisfied_branch_ratio,0.666667,5,0,5,0,1,0.171659,0.357719,0,2.79549
combinators,allOf_satisfied_branch_ratio,1,22,4,16,0.181818,0.727273,0.171659,0.357719,1.05918,2.03308
combinators,anyOf_satisfied_branch_count,0,1699,295,597,0.173632,0.351383,0.171659,0.357719,1.01149,0.982289
combinators,anyOf_satisfied_branch_count,1,50,7,26,0.14,0.52,0.171659,0.357719,0.81557,1.45366
combinators,anyOf_satisfied_branch_count,2,16,4,10,0.25,0.625,0.171659,0.357719,1.45638,1.74718
combinators,anyOf_satisfied_branch_count,4,1,0,1,0,1,0.171659,0.357719,0,2.79549
combinators,anyOf_satisfied_branch_count,8,1,1,0,1,0,0.171659,0.357719,5.8255,0
combinators,anyOf_satisfied_branch_count_bucket,0,1699,295,597,0.173632,0.351383,0.171659,0.357719,1.01149,0.982289
combinators,anyOf_satisfied_branch_count_bucket,1,50,7,26,0.14,0.52,0.171659,0.357719,0.81557,1.45366
combinators,anyOf_satisfied_branch_count_bucket,2,16,4,10,0.25,0.625,0.171659,0.357719,1.45638,1.74718
combinators,anyOf_satisfied_branch_count_bucket,4-5,1,0,1,0,1,0.171659,0.357719,0,2.79549
combinators,anyOf_satisfied_branch_count_bucket,6+,1,1,0,1,0,0.171659,0.357719,5.8255,0
combinators,branches_conflicting_types,false,1736,298,621,0.171659,0.357719,0.171659,0.357719,1,1
combinators,branches_have_enum,false,1684,294,581,0.174584,0.345012,0.171659,0.357719,1.01704,0.964478
combinators,branches_have_enum,true,52,4,40,0.0769231,0.769231,0.171659,0.357719,0.448116,2.15038
combinators,branches_have_not,false,1725,296,611,0.171594,0.354203,0.171659,0.357719,0.999623,0.990171
combinators,branches_have_not,true,11,2,10,0.181818,0.909091,0.171659,0.357719,1.05918,2.54136
combinators,branches_have_properties,false,1656,294,562,0.177536,0.339372,0.171659,0.357719,1.03424,0.948711
combinators,branches_have_properties,true,80,4,59,0.05,0.7375,0.171659,0.357719,0.291275,2.06167
combinators,branches_have_required,false,1650,283,569,0.171515,0.344848,0.171659,0.357719,0.999162,0.964021
combinators,branches_have_required,true,86,15,52,0.174419,0.604651,0.171659,0.357719,1.01608,1.6903
combinators,branches_overlapping_properties,false,1700,295,593,0.173529,0.348824,0.171659,0.357719,1.0109,0.975133
combinators,branches_overlapping_properties,true,36,3,28,0.0833333,0.777778,0.171659,0.357719,0.485459,2.17427
combinators,combinator_branch_count_bucket,0,1487,266,481,0.178884,0.32347,0.171659,0.357719,1.04209,0.904258
combinators,combinator_branch_count_bucket,1,10,0,2,0,0.2,0.171659,0.357719,0,0.559098
combinators,combinator_branch_count_bucket,2,161,29,83,0.180124,0.515528,0.171659,0.357719,1.04931,1.44115
combinators,combinator_branch_count_bucket,3,45,2,29,0.0444444,0.644444,0.171659,0.357719,0.258911,1.80154
combinators,combinator_branch_count_bucket,4-5,19,0,14,0,0.736842,0.171659,0.357719,0,2.05984
combinators,combinator_branch_count_bucket,6+,14,1,12,0.0714286,0.857143,0.171659,0.357719,0.416107,2.39614
combinators,combinator_type,absent,1487,266,481,0.178884,0.32347,0.171659,0.357719,1.04209,0.904258
combinators,combinator_type,allOf,11,0,8,0,0.727273,0.171659,0.357719,0,2.03308
combinators,combinator_type,anyOf,62,11,31,0.177419,0.5,0.171659,0.357719,1.03356,1.39775
combinators,combinator_type,mixed,42,5,35,0.119048,0.833333,0.171659,0.357719,0.693512,2.32958
combinators,combinator_type,oneOf,134,16,66,0.119403,0.492537,0.171659,0.357719,0.695582,1.37688
combinators,oneOf_satisfied_branch_count,0,1667,289,578,0.173365,0.346731,0.171659,0.357719,1.00994,0.969282
combinators,oneOf_satisfied_branch_count,1,121,17,69,0.140496,0.570248,0.171659,0.357719,0.818459,1.59412
combinators,oneOf_satisfied_branch_count,2,13,3,8,0.230769,0.615385,0.171659,0.357719,1.34435,1.7203
combinators,oneOf_satisfied_branch_count_bucket,0,1667,289,578,0.173365,0.346731,0.171659,0.357719,1.00994,0.969282
combinators,oneOf_satisfied_branch_count_bucket,1,121,17,69,0.140496,0.570248,0.171659,0.357719,0.818459,1.59412
combinators,oneOf_satisfied_branch_count_bucket,2,13,3,8,0.230769,0.615385,0.171659,0.357719,1.34435,1.7203
not,instance_satisfies_not_subschema,false,6,1,6,0.166667,1,0.171659,0.357719,0.970917,2.79549
not,instance_satisfies_not_subschema,true,7,1,7,0.142857,1,0.171659,0.357719,0.832215,2.79549
not,instance_satisfies_not_subschema,unknown,1727,297,612,0.171975,0.354372,0.171659,0.357719,1.00184,0.990643
not,not_contains_const,false,1736,298,621,0.171659,0.357719,0.171659,0.357719,1,1
not,not_contains_enum,false,1731,298,616,0.172155,0.355864,0.171659,0.357719,1.00289,0.994814
not,not_contains_enum,true,5,0,5,0,1,0.171659,0.357719,0,2.79549
not,not_contains_pattern,false,1736,298,621,0.171659,0.357719,0.171659,0.357719,1,1
not,not_contains_properties,false,1734,298,619,0.171857,0.356978,0.171659,0.357719,1.00115,0.997929
not,not_contains_properties,true,2,0,2,0,1,0.171659,0.357719,0,2.79549
not,not_contains_required,false,1728,296,613,0.171296,0.354745,0.171659,0.357719,0.997887,0.991688
not,not_contains_required,true,8,2,8,0.25,1,0.171659,0.357719,1.45638,2.79549
not,not_parent_keyword,$defs,2,0,2,0,1,0.171659,0.357719,0,2.79549
not,not_parent_keyword,absent,1716,296,602,0.172494,0.350816,0.171659,0.357719,1.00487,0.980703
not,not_parent_keyword,allOf,3,2,3,0.666667,1,0.171659,0.357719,3.88367,2.79549
not,not_parent_keyword,anyOf,2,0,2,0,1,0.171659,0.357719,0,2.79549
not,not_parent_keyword,items,1,0,1,0,1,0.171659,0.357719,0,2.79549
not,not_parent_keyword,oneOf,3,0,3,0,1,0.171659,0.357719,0,2.79549
not,not_parent_keyword,properties,7,0,6,0,0.857143,0.171659,0.357719,0,2.39614
not,not_parent_keyword,root,1,0,1,0,1,0.171659,0.357719,0,2.79549
not,not_parent_keyword,then,1,0,1,0,1,0.171659,0.357719,0,2.79549
not,not_target_type,absent,1728,298,613,0.172454,0.354745,0.171659,0.357719,1.00463,0.991688
not,not_target_type,mixed,4,0,4,0,1,0.171659,0.357719,0,2.79549
not,not_target_type,number,1,0,1,0,1,0.171659,0.357719,0,2.79549
not,not_target_type,object,3,0,3,0,1,0.171659,0.357719,0,2.79549
numeric,numeric_boundary_case,above_max,63,37,25,0.587302,0.396825,0.171659,0.357719,3.42133,1.10932
numeric,numeric_boundary_case,below_min,194,169,28,0.871134,0.14433,0.171659,0.357719,5.07479,0.403473
numeric,numeric_boundary_case,equal_max,4,2,1,0.5,0.25,0.171659,0.357719,2.91275,0.698873
numeric,numeric_boundary_case,equal_min,100,78,19,0.78,0.19,0.171659,0.357719,4.54389,0.531143
numeric,numeric_boundary_case,inside_range,164,123,39,0.75,0.237805,0.171659,0.357719,4.36913,0.664781
numeric,numeric_boundary_case,multiple_ok,8,6,0,0.75,0,0.171659,0.357719,4.36913,0
numeric,numeric_boundary_case,multiple_violation,7,5,0,0.714286,0,0.171659,0.357719,4.16107,0
numeric,numeric_boundary_case,not_applicable,1517,122,581,0.0804219,0.382993,0.171659,0.357719,0.468498,1.07065
numeric,numeric_has_default,false,1630,206,605,0.12638,0.371166,0.171659,0.357719,0.736229,1.03759
numeric,numeric_has_default,true,106,92,16,0.867925,0.150943,0.171659,0.357719,5.0561,0.421961
numeric,numeric_has_min_and_max,false,1639,248,583,0.151312,0.355705,0.171659,0.357719,0.881467,0.994369
numeric,numeric_has_min_and_max,true,97,50,38,0.515464,0.391753,0.171659,0.357719,3.00284,1.09514
numeric,numeric_is_in_properties,false,1460,101,559,0.0691781,0.382877,0.171659,0.357719,0.402997,1.07033
numeric,numeric_is_in_properties,true,276,197,62,0.713768,0.224638,0.171659,0.357719,4.15806,0.627973
numeric,numeric_parent_keyword,$defs,9,5,4,0.555556,0.444444,0.171659,0.357719,3.23639,1.24244
numeric,numeric_parent_keyword,absent,1438,93,545,0.0646732,0.378999,0.171659,0.357719,0.376754,1.05949
numeric,numeric_parent_keyword,additionalProperties,1,0,1,0,1,0.171659,0.357719,0,2.79549
numeric,numeric_parent_keyword,anyOf,1,0,0,0,0,0.171659,0.357719,0,0
numeric,numeric_parent_keyword,items,4,2,3,0.5,0.75,0.171659,0.357719,2.91275,2.09662
numeric,numeric_parent_keyword,mixed,20,10,6,0.5,0.3,0.171659,0.357719,2.91275,0.838647
numeric,numeric_parent_keyword,oneOf,1,1,0,1,0,0.171659,0.357719,5.8255,0
numeric,numeric_parent_keyword,other,3,0,3,0,1,0.171659,0.357719,0,2.79549
numeric,numeric_parent_keyword,patternProperties,2,0,2,0,1,0.171659,0.357719,0,2.79549
numeric,numeric_parent_keyword,properties,257,187,57,0.727626,0.22179,0.171659,0.357719,4.23879,0.620012
numeric,numeric_property_required,false,1561,162,592,0.10378,0.379244,0.171659,0.357719,0.604569,1.06017
numeric,numeric_property_required,true,175,136,29,0.777143,0.165714,0.171659,0.357719,4.52725,0.463253
numeric,numeric_target_type,absent,1439,93,546,0.0646282,0.37943,0.171659,0.357719,0.376492,1.06069
numeric,numeric_target_type,integer,142,85,50,0.598592,0.352113,0.171659,0.357719,3.4871,0.984328
numeric,numeric_target_type,mixed,60,51,5,0.85,0.0833333,0.171659,0.357719,4.95168,0.232958
numeric,numeric_target_type,number,95,69,20,0.726316,0.210526,0.171659,0.357719,4.23116,0.588524
patternProperties,additionalProperties_value,absent,1668,298,555,0.178657,0.332734,0.171659,0.357719,1.04077,0.930154
patternProperties,additionalProperties_value,false,66,0,65,0,0.984848,0.171659,0.357719,0,2.75314
patternProperties,additionalProperties_value,true,2,0,1,0,0.5,0.171659,0.357719,0,1.39775
patternProperties,instance_has_unmatched_keys,false,1593,296,488,0.185813,0.30634,0.171659,0.357719,1.08245,0.856371
patternProperties,instance_has_unmatched_keys,true,816,143,388,0.175245,0.47549,0.171659,0.357719,1.02089,1.32923
