feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_minimum,302,1521,520,133,1332,4270,0.39039,0.0311475,12.5336,0.359243,0.165661,0.116566,true
has_maximum,111,1712,145,508,476,5126,0.304622,0.0991026,3.0738,0.205519,0.0608886,0.116566,true
has_default,485,1338,313,340,1413,4189,0.221515,0.081165,2.72919,0.14035,0.266045,0.116566,true
has_exclusiveMinimum,9,1814,14,639,47,5555,0.297872,0.115032,2.58948,0.182841,0.00493692,0.116566,true
has_required,1365,458,562,91,4311,1291,0.130364,0.070488,1.84945,0.0598762,0.748766,0.116566,true
has_maxLength,252,1571,105,548,881,4721,0.119183,0.116077,1.02676,0.00310564,0.138234,0.116566,true
many_properties,1268,555,432,221,3991,1611,0.108244,0.137182,0.789051,-0.0289383,0.695557,0.116566,true
many_required,827,996,264,389,2743,2859,0.096245,0.136062,0.707364,-0.0398166,0.453648,0.116566,true
has_minLength,313,1510,101,552,1232,4370,0.0819805,0.126316,0.649012,-0.0443353,0.171695,0.116566,true
has_boolean_schema,825,998,245,408,2767,2835,0.0885435,0.143915,0.615247,-0.0553718,0.452551,0.116566,true
has_pattern,512,1311,175,478,2099,3503,0.083373,0.136454,0.610995,-0.0530814,0.280856,0.116566,true
has_additionalProperties,852,971,249,404,2883,2719,0.0863684,0.148584,0.581276,-0.0622157,0.467361,0.116566,true
has_anyOf,92,1731,26,627,379,5223,0.0686016,0.120046,0.571461,-0.0514444,0.0504663,0.116566,true
has_minItems,227,1596,65,588,992,4610,0.0655242,0.127549,0.513719,-0.0620246,0.12452,0.116566,true
has_const,19,1804,4,649,72,5530,0.0555556,0.11736,0.473378,-0.0618043,0.0104224,0.116566,true
has_not,20,1803,4,649,73,5529,0.0547945,0.117381,0.466809,-0.0625866,0.0109709,0.116566,true
has_allOf,42,1781,8,645,150,5452,0.0533333,0.118305,0.450811,-0.0649719,0.0230389,0.116566,true
large_enum,267,1556,45,608,828,4774,0.0543478,0.127357,0.426738,-0.0730087,0.146462,0.116566,true
has_enum,808,1015,157,496,2417,3185,0.0649566,0.15573,0.41711,-0.0907734,0.443225,0.116566,true
has_oneOf,182,1641,25,628,520,5082,0.0480769,0.123573,0.389056,-0.0754965,0.0998354,0.116566,true
has_ref,442,1381,74,579,1498,4104,0.0493992,0.141082,0.350146,-0.0916827,0.242457,0.116566,true
has_minProperties,29,1794,4,649,104,5498,0.0384615,0.118043,0.325827,-0.0795814,0.0159078,0.116566,true
has_patternProperties,119,1704,14,639,363,5239,0.0385675,0.12197,0.316205,-0.0834023,0.065277,0.116566,true
has_defs,471,1352,74,579,1626,3976,0.0455105,0.145624,0.312521,-0.100113,0.258365,0.116566,true
has_items,990,833,207,446,3348,2254,0.061828,0.19787,0.312467,-0.136042,0.543061,0.116566,true
has_maxItems,90,1733,10,643,335,5267,0.0298507,0.122081,0.244516,-0.0922301,0.0493692,0.116566,true
deep_schema,338,1485,34,619,1046,4556,0.0325048,0.135865,0.239244,-0.10336,0.185409,0.116566,true
has_maxProperties,10,1813,0,653,30,5572,0,0.117193,0,-0.117193,0.00548546,0.116566,true
has_properties,1819,4,653,0,5600,2,0.116607,0,inf,0.116607,0.997806,0.116566,false
has_type,1823,0,653,0,5602,0,0.116566,0,inf,0.116566,1,0.116566,false
has_multipleOf,9,1814,7,646,13,5589,0.538462,0.115584,4.65861,0.422877,0.00493692,0.116566,false
has_contains,1,1822,0,653,2,5600,0,0.116607,0,-0.116607,0.000548546,0.116566,false
has_content,2,1821,0,653,4,5598,0,0.116649,0,-0.116649,0.00109709,0.116566,false
has_if_then_else,4,1819,0,653,13,5589,0,0.116837,0,-0.116837,0.00219419,0.116566,false
has_propertyNames,3,1820,0,653,13,5589,0,0.116837,0,-0.116837,0.00164564,0.116566,false
